PG Close,PG Volume,EMA 12,EMA 26,MACD,RSI,VWMA
53.59375,0.04275,54.5659258760906,54.55410261269077,0.011823263399833195,0.4507506658999303,54.57895511870821
52.5625,0.042708,54.2577065105382,54.406576493232194,-0.14886998269399498,0.40677785275933087,54.3547902256815
51.5625,0.050984,53.843059355070785,54.195904160400175,-0.35284480532939,0.3691687064924336,54.12131149178973
53.9375,0.065242,53.857588685059895,54.17676311148165,-0.3191744264217533,0.48981458986259907,54.062456651085355
58.25,0.09832,54.53334427197375,54.47848436248301,0.054859909490744485,0.628680864928858,54.51685552693952
57.96875,0.06862,55.06186823013164,54.73702255785464,0.3248456722770001,0.6168878972668834,54.76574139848803
58.875,0.044218,55.64850388703446,55.04353940542096,0.6049644816135,0.640301673058985,54.962962666202706
58.5,0.062316,56.087195596721465,55.29957352353793,0.7876220731835346,0.6233259332180437,55.179267036638095
57.5,0.052852,56.30455012030278,55.462568077349935,0.8419820429528428,0.5792252822808448,55.25522534331606
58.5,0.049044,56.642311640256196,55.68756303458328,0.9547486056729184,0.6090155223609208,55.44163302140343
58.46875,0.044568,56.92330215713986,55.89357688387341,1.0297252732664504,0.607567904627131,55.84981110464088
57.6875,0.055534,57.04087105604142,56.02646007766056,1.0144109783808588,0.5710248194651127,56.07089074439941
56.28125,0.102318,56.92400627818889,56.04533340524126,0.8786728729476323,0.5113998498280997,56.32023209344723
51.34375,0.243788,56.065505312313675,55.69706796781598,0.3684373444976927,0.36664139495708975,55.31070951406478
51.5625,0.285546,55.372735264265415,55.39080367390368,-0.018068409638267724,0.37508120296469694,54.553565448994284
48.75,0.170978,54.35385291591689,54.89889229065156,-0.5450393747346709,0.31665605266530933,53.885581986226725
50.3125,0.102432,53.73210631346814,54.55915952838108,-0.8270532149129437,0.374910479605671,53.64697410049916
52.03125,0.08989,53.47043611139612,54.371906970723224,-0.9014708593271052,0.43224640708057227,53.55244875482436
50.15625,0.095834,52.960561325027484,54.05963608400299,-1.0990747589755046,0.3901985804020292,53.35890292539699
50.53125,0.045182,52.5868211211771,53.79827415185462,-1.211453030677518,0.4027129771491992,53.28362121812958
49.75,0.040442,52.150387102534474,53.49840199245798,-1.3480148899235047,0.3849869682380834,53.19738124966866
49.3125,0.039208,51.71378908675994,53.18833517820183,-1.4745460914418942,0.37503163164206016,53.128105087876165
48.90625,0.062596,51.281859996489175,52.871143683520216,-1.5892836870310418,0.36557818469182574,53.026698967743634
47.375,0.076478,50.680804612413915,52.464021929185385,-1.78321731677147,0.33164439492530273,52.75806013832639
46.625,0.064644,50.05683467204254,52.03150178628276,-1.9746671142402192,0.3161646007909357,52.23680251412756
47.875,0.067878,49.721167799420606,51.72361276507663,-2.002444965656025,0.3690258609061277,51.852897068961866
47.0,0.062558,49.30252659950975,51.373715523219104,-2.0711889237093573,0.3487056752247396,51.51438451650033
45.71875,0.052678,48.751176353431326,50.95482918816584,-2.2036528347345126,0.32084588438533385,51.103944287948444
46.875,0.05335,48.46253383751881,50.65261961867207,-2.1900857811532575,0.36978019074468277,50.79165876015127
45.9375,0.052522,48.07406709328515,50.30335149877044,-2.229284405485288,0.3478927638111408,50.44163132512065
47.875,0.06864,48.043441386625894,50.12347360997263,-2.080032223346734,0.42379942246152086,50.15026577820633
47.023438,0.053146,47.88651778868345,49.89384134256725,-2.0073235538838006,0.4016690622472199,49.83074848503367
47.09375,0.046824,47.764553513501376,49.686427169043746,-1.9218736555423703,0.40443444694022834,49.38661830738853
46.820313,0.046516,47.619285742193476,49.474122415781245,-1.8548366735877693,0.3967546691514359,49.00845080867435
46.4375,0.052268,47.437472551086785,49.24918742201967,-1.8117148709328887,0.385711908889179,48.36586460202491
45.3125,0.05357,47.110553697073435,48.957580946314515,-1.84702724924108,0.3544866525098479,48.17897647380847
44.25,0.072232,46.670468512908286,48.60887124658751,-1.9384027336792258,0.3275191479934842,47.75912074113549
42.5625,0.071772,46.03847335707624,48.160991894988435,-2.1225185379121925,0.2898094586541161,47.116695933557274
44.1875,0.070816,45.75370822521836,47.86665916202632,-2.1129509368079624,0.3655623905674947,46.684269058419176
43.9375,0.066618,45.47429157518477,47.575610335209554,-2.101318760024782,0.359214208187064,46.38054764389882
44.125,0.041536,45.26670825592558,47.32000956963848,-2.0533013137129004,0.3680775524134077,46.18498373768422
43.65625,0.035658,45.01894544732164,47.04861997188748,-2.0296745245658414,0.3548624808517965,46.003465998853535
44.21875,0.049022,44.895838455426,46.83899997396989,-1.9431615185438886,0.38346811992035434,45.77114790550656
43.71875,0.036686,44.714747923822,46.60787034626841,-1.8931224224464103,0.36785436254068227,45.594235174242634
30.5,1.372872,42.527863627849385,45.414694765063345,-2.88683113721396,0.17036080898806952,37.02905263037902
29.0,0.745842,40.44665383894948,44.19879144913273,-3.7521376101832473,0.15987180059167727,34.863405926347596
28.875,0.342172,38.66639940218802,43.06369578623401,-4.397296384045987,0.1589932900584926,34.033709735594456
26.875,0.485616,36.85233795569756,41.86453313540186,-5.0121951797043,0.1452411741580275,32.96187273467171
28.625,0.359968,35.58659365482101,40.88382697722395,-5.297233322402938,0.2096578909050268,32.403377237704575
27.875,0.20742,34.40019463100239,39.92021016409625,-5.520015533093854,0.2026105552554369,32.01776368469295
29.25,0.247374,33.607856995463564,39.12982422601504,-5.521967230551475,0.25223600031607596,31.62001982826012
29.9375,0.274052,33.04318668846917,38.4489113203843,-5.4057246319151275,0.2764818846670774,31.346505532576707
28.8125,0.222024,32.39231181332007,37.73510307442991,-5.342791261109838,0.2615376982231782,31.07869549677815
