NVS Close,NVS Volume,EMA 12,EMA 26,MACD,RSI,VWMA
32.594086,0.001332,32.56541349469045,32.94717634243382,-0.3817628477433672,0.4547971521939206,32.564464569836744
31.978046,0.002432,32.475049264738075,32.87538890966094,-0.400339644922866,0.39580508872717146,32.40260858391056
32.118057,0.001446,32.420127377855295,32.819290249686055,-0.39916287183076093,0.41439671098288666,32.34379563955548
32.8181,0.005792,32.48135393510833,32.81920208304264,-0.3378481479343094,0.49763231941287417,32.35597972763083
33.322132,0.000899,32.61070440663013,32.85645615096541,-0.2457517443352799,0.5475023935039727,32.34871105870326
33.378136,0.002602,32.728770805610104,32.895099102745746,-0.16632829713564234,0.5528143172603326,32.376497109698235
32.706093,0.001379,32.72528191243932,32.881098650690504,-0.15581673825118258,0.47999669526129496,32.358514245783056
32.538082,0.00077,32.69648192591019,32.855690009898616,-0.15920808398842468,0.4635572950573179,32.35591926933324
32.930107,0.001053,32.732424245000935,32.861202379535754,-0.12877813453481934,0.506065954827081,32.37402585678492
32.8181,0.001919,32.74560513038541,32.85800961068125,-0.11240448029584371,0.4940207187253376,32.389133518300014
32.706093,0.00183,32.73952634109534,32.84675652840857,-0.10723018731322753,0.48167415164931654,32.531953775323075
31.978046,0.001484,32.62237551938837,32.782407600378306,-0.16003208098993582,0.4099548544332581,32.513482527377846
32.146057,0.002426,32.549095747174775,32.7352705188688,-0.18617477169402719,0.43100962846930213,32.50778650438129
31.586021,0.001187,32.400930401455575,32.65014092487852,-0.24921052342294558,0.3820689486043866,32.5035188902536
30.241936,0.001274,32.06877741661626,32.47175537488752,-0.4029779582712649,0.2953806405498122,32.45956608613126
30.129929,0.000953,31.770493044829138,32.298286754525485,-0.527793709696347,0.2894861046107314,32.392409859220855
29.569893,0.001158,31.431939191778504,32.096183513449525,-0.6642443216710205,0.26139783171198266,32.30830993932755
29.401882,0.00102,31.119622700735658,31.896605623564376,-0.7769829228287186,0.2534527072803148,32.216583476243365
28.505825,0.001037,30.717499977545557,31.645436688485532,-0.9279367109399743,0.21578253423022906,32.09363503278139
27.721775,0.001836,30.25661921176932,31.35479508193105,-1.0981758701617323,0.18927406787235646,31.837922497472587
28.617832,0.001644,30.004498102266346,31.152057075862086,-1.1475589735957392,0.2957543189441078,31.653363212061745
28.505825,0.000997,29.773933009609987,30.956039885057486,-1.1821068754474986,0.29061614327238283,31.533271359261295
29.121864,0.001377,29.67361470043922,30.82017500468286,-1.1465603042436392,0.35680270042336915,31.405621514906393
28.561829,0.000761,29.502570746525496,30.652890115447093,-1.150319368921597,0.3269387955354617,31.030876840215893
28.729839,0.002256,29.38368893936773,30.510441884673234,-1.1267529453055047,0.3446598628172875,30.78052363936747
28.89785,0.001102,29.30894448715731,30.390990633956697,-1.0820461467993887,0.3627293772795074,30.45886563722099
28.673836,0.00274,29.211235489133106,30.26379399440435,-1.052558505271243,0.3489153007552728,30.18166928212601
28.169804,0.003644,29.051015260035705,30.10868362444847,-1.0576683644127662,0.3194376504602987,29.893143984604713
28.449821,0.002821,28.958523835414827,29.985804911526362,-1.0272810761115352,0.35218203322236474,29.67592244050678
27.777779,0.001417,28.776870783812544,29.822247436598484,-1.04537665278594,0.31323009506516536,29.41140636260769
27.553764,0.000743,28.588700509379848,29.654211626480077,-1.065511117100229,0.3012687153180109,29.178965893873322
28.393818,0.001767,28.55871858485987,29.560849135629702,-1.0021305507698308,0.3946275154739821,29.006665172294774
29.737904,0.010392,28.74013172565066,29.573964310768243,-0.8338325851175838,0.507916654521065,29.00623825018691
29.6819,0.002801,28.885019152473635,29.58195954700763,-0.6969403945339963,0.5036870181753037,28.978215404887397
29.793907,0.001104,29.024848052093077,29.5976593583404,-0.5728113062473241,0.5124319537244454,28.961148854077464
30.017921,0.000883,29.177628505617218,29.628789850315187,-0.45116134469796876,0.5302587917149426,28.956794211325303
29.569893,0.001274,29.23797688936842,29.62442712066221,-0.38645023129379297,0.49154902119030885,28.958503156430222
28.673836,0.00139,29.151185983311738,29.55401296357612,-0.4028269802643827,0.4247618051876722,28.938307525317963
28.617832,0.0016,29.0691315243407,29.484666225533445,-0.41553470119274394,0.4209124641950337,28.936796879668147
28.785843,0.003075,29.02554867444213,29.432901542160597,-0.40735286771846546,0.43738482041294474,28.9771411975427
28.841846,0.000866,28.997286724527957,29.3891196501487,-0.39183292562074357,0.44307163546254064,28.988151164519874
28.673836,0.002464,28.947525074600577,29.33613567606361,-0.38861060146303217,0.4290601443331319,28.981550148728562
28.225807,0.001232,28.836491524662026,29.253889107466307,-0.41739758280428063,0.3933384170121245,28.956189512338714
28.225807,0.001223,28.742540059329407,29.17773487728362,-0.435194817954212,0.39333841701212446,28.942947795530653
26.88172,0.001066,28.456260050201806,29.007659701188537,-0.5513996509867312,0.3049913051924066,28.903582246789288
27.329748,0.001229,28.28295050401691,28.883369945544942,-0.6004194415280324,0.35684769524675464,28.859496235645192
27.105734,0.001082,28.101840272629694,28.751693208837906,-0.6498529362082124,0.34306472571807883,28.826485475934685
27.329748,0.000883,27.98305684607128,28.646363934109175,-0.6633070880378966,0.369298944789567,28.853737411909847
26.825716,0.001339,27.80500440821416,28.51150112417516,-0.706496715961002,0.33671691578993784,28.812075438012165
27.105734,0.000814,27.69742434541198,28.407370226088112,-0.7099458806761305,0.36997304600904773,28.814134054664628
27.833782,0.001566,27.718402446117828,28.364882209340845,-0.6464797632230166,0.44753305272450533,28.798397487858075
28.393818,0.001678,27.822312531330468,28.367025601241522,-0.5447130699110545,0.4986601941788474,28.799346029108822
