PEP Close,PEP Volume,EMA 12,EMA 26,MACD,RSI,VWMA
36.875,0.052984,35.75298437238385,35.47378583444677,0.27919853793707716,0.5877724822631549,35.8242002534764
35.9375,0.045557,35.78137139201711,35.50813503189516,0.27323636012194896,0.5267961692343668,35.75626220151408
35.0625,0.057019,35.67077579324524,35.475125029532556,0.19565076371268475,0.47705232052895574,35.61939729539842
36.625,0.068631,35.81757951736136,35.56030095327088,0.2572785640904769,0.5574205932093407,35.62442806167908
37.625,0.105278,36.095644206998074,35.713241623398964,0.3824025835991094,0.5998099951232608,35.84918014351444
36.875,0.064025,36.21554509822914,35.79929779944349,0.41624729878565603,0.5567409540140198,35.86625462400305
36.75,0.056078,36.297768929270816,35.869720184669895,0.4280487446009218,0.5496569844255831,35.957417786165145
36.3125,0.042673,36.300035247844534,35.902518689509165,0.3975165583353686,0.524502036351688,36.0140662356991
35.9375,0.031442,36.244260594329994,35.90510989769367,0.3391506966363238,0.5032428245246168,36.052090655104585
36.1875,0.054137,36.2355281952023,35.926027683049696,0.3095005121526029,0.5172897074899248,36.159324870920706
36.25,0.048216,36.23775462670964,35.95002563245342,0.28772899425622,0.5209368544950695,36.23349071290175
36.4375,0.039997,36.268484684138926,35.98613484486428,0.2823498392746444,0.5323522637007072,36.30165670143895
36.125,0.031061,36.246410117348326,35.99642115265211,0.24998896469621457,0.5105177751577971,36.36506182455039
36.125,0.044544,36.22773163775628,36.00594551171491,0.2217861260413656,0.5105177751577971,36.40933660580845
35.3125,0.03785,36.08692677040916,35.95457917751381,0.13234759289534992,0.4543281333772168,36.392879148185
34.3125,0.043565,35.813938036500055,35.832943682883155,-0.019005646383099872,0.39648713165832666,36.291907969402395
33.9375,0.031741,35.525255261653896,35.69254044711403,-0.1672851854601305,0.3770989343221743,36.193197712732974
33.8125,0.026101,35.26175445216868,35.55327819177224,-0.29152373960356215,0.3705935991491784,36.13332330624375
33.25,0.040908,34.95225376721965,35.382664992381706,-0.43041122516205377,0.34200189252822355,36.0201931497727
34.125,0.029896,34.82498395687817,35.289504622575656,-0.46452066569748496,0.41731126005641983,35.970560668611945
34.0,0.036026,34.69806334812768,35.19398576164413,-0.49592241351644617,0.41009037265374926,35.843347116058396
33.0,0.032891,34.436822833031115,35.031468297818634,-0.5946454647875186,0.35688735129545746,35.737271765759765
33.0625,0.036629,34.22538855102633,34.88561879427652,-0.6602302432501901,0.3624544972790494,35.67128515208681
32.75,0.038856,33.99840569702228,34.72742480951529,-0.7290191124930132,0.3463121042463791,35.46603112520271
32.375,0.039997,33.74865097440347,34.553171119921565,-0.8045201455180973,0.3274649749741328,35.030983343726334
33.3125,0.050105,33.68155082449525,34.46126955548293,-0.7797187309876819,0.4134127863907759,34.77342761503848
34.0,0.084325,33.730543005342135,34.42710144026197,-0.6965584349198366,0.46718776134365386,34.55896952957513
34.625,0.059095,33.86815177375104,34.44176059283516,-0.5736088190841215,0.5110697713190556,34.47426943438001
34.375,0.055304,33.946128423943186,34.43681536373626,-0.490686939793072,0.4935593584748048,34.414475819280014
34.0625,0.034933,33.96403174333654,34.409088299755794,-0.445056556419253,0.4717989109924996,34.28588123782718
34.1875,0.039096,33.99841147513092,34.392674351625736,-0.39426287649481395,0.4816435904171588,34.167564637059975
34.0,0.046068,33.99865586357232,34.36358736261642,-0.36493149904410416,0.4675662257315784,34.05014982282289
34.3125,0.028477,34.04693957686889,34.35980311353372,-0.31286353666483535,0.4941054956166065,33.9820299058951
34.25,0.036645,34.07817964196598,34.351669549568264,-0.27348990760228276,0.4888571787165732,33.878667360484144
34.6875,0.029294,34.17192123550968,34.37654587922987,-0.2046246437201944,0.5267513548023294,33.84137661411887
34.1875,0.032493,34.17431796850819,34.3625424807684,-0.18822451226020576,0.48270698347648444,33.82990655288795
34.0,0.036128,34.14749981950693,34.33568748219296,-0.18818766268602616,0.4669395374170195,33.83326339935101
32.75,0.042055,33.932499847275096,34.218229150178665,-0.2857293029035688,0.3782371384488088,33.77897787501764
33.25,0.036547,33.827499870771234,34.14650847238765,-0.3190086016164173,0.4252681837285587,33.781774558712996
32.125,0.046355,33.56557681372951,33.99676710406264,-0.4311902903331344,0.3593962264719439,33.67829317714208
32.5625,0.054964,33.41125730392497,33.890525096354295,-0.4792677924293258,0.39842101432848803,33.593529825970606
31.5625,0.051704,33.126833103321125,33.71807879292064,-0.5912456895995177,0.3464669531773778,33.49627866665908
31.625,0.046266,32.895781856656335,33.56303591937097,-0.6672540627146333,0.35215305172680567,33.41673872828728
31.0,0.044579,32.60412310947844,33.37318140682497,-0.7690582973465325,0.32198373677143405,33.32525141710363
30.625,0.070532,32.299642631097136,33.169612413726824,-0.8699697826296884,0.30509471074528643,33.160437692237004
30.5,0.051598,32.022774534005265,32.97186334604336,-0.9490888120380916,0.2994561618446215,33.00404382875425
31.375,0.039132,31.92311691338907,32.85357717226237,-0.9304602588732998,0.3851214255757336,32.83640782000873
30.75,0.036491,31.742637388252287,32.69775664098368,-0.9551192527313894,0.3520097764103915,32.62464559645774
31.125,0.04308,31.647616251598087,32.58125614905896,-0.9336398974608713,0.3861138978808285,32.43395646988494
30.6875,0.046029,31.499906059044537,32.44097791579533,-0.9410718567507921,0.36216547424845635,32.27387218625989
33.1875,0.054638,31.759535896114606,32.49627584795864,-0.7367399518440365,0.5383656242618896,32.24535642699654
34.0625,0.054103,32.11383806594313,32.61229245181356,-0.49845438587043134,0.5818998932407466,32.265195038076975
33.0,0.044645,32.250170671182644,32.641011529456996,-0.3908408582743519,0.5180172462434797,32.23678050448134
