AMZN Close,AMZN Volume,EMA 12,EMA 26,MACD,RSI,VWMA
89.375,0.161176,86.84632988266816,87.50603065539715,-0.6597007727289963,0.5177870847968146,93.34357945223192
81.9375,0.174874,86.09112528533458,87.09354690314551,-1.0024216178109242,0.4562095661315602,92.72567269163072
69.75,0.384574,83.57710601066772,85.80883972513473,-2.231733714467012,0.3770742743128908,89.63356613078216
65.5625,0.18752,80.8056281628727,84.30911085660624,-3.5034826937335453,0.35433164682158913,88.05460429344363
69.5625,0.105054,79.07591613781536,83.21676931167244,-4.1408531738570815,0.39205153159623224,84.65069205588824
69.1875,0.147579,77.55462134738222,82.17756417747448,-4.622942830092256,0.38975270635908366,82.38672674301907
66.75,0.105327,75.89237190932343,81.0347816458097,-5.142409736486272,0.37438601192478765,81.0207515851305
63.5625,0.108045,73.99546853865829,79.74053856093491,-5.745070022276622,0.3546920530584837,79.66867637384556
65.9375,0.104481,72.7557810711724,78.71809126012491,-5.9623101889525145,0.38082710992110663,78.40754932964771
64.25,0.068536,71.4471993679151,77.64638079641195,-6.199181428496843,0.3693800304079475,77.55413332530985
64.125,0.053849,70.32070715746663,76.64479703371477,-6.324089876248138,0.3684964398753941,76.86686241549917
66.8125,0.082455,69.78098297939484,75.91647873492109,-6.13549575552625,0.40163741004066955,75.66487243378512
64.75,0.05978,69.00698559794948,75.08933216196397,-6.082346564014486,0.3849413444945651,74.44606067652796
62.0625,0.114619,67.93860319826494,74.12438163144813,-6.185778433183188,0.3637239947871704,73.31869926551568
70.125,0.291702,68.27497193699341,73.82813114022974,-5.5531592032363335,0.45990187171085156,72.15078332712021
69.25,0.094341,68.42497625437905,73.48901031502754,-5.0640340606484955,0.4519180227810205,71.46766397366683
64.8125,0.06558,67.86921067678227,72.84630584724772,-4.9770951704654465,0.41278149026841143,70.85440648191815
66.9375,0.06784,67.72587057266192,72.40861652522936,-4.682745952567444,0.43788603277202437,70.45581650020353
61.6875,0.137779,66.79689048456008,71.61445974558274,-4.817569261022655,0.39316493969402383,69.68111899677643
64.5625,0.106979,66.45313810232007,71.09209235702104,-4.638954254700977,0.4276384117594406,69.29360369495326
67.4375,0.134046,66.60457839427082,70.82138181205652,-4.216803417785698,0.4606359142530122,67.95044526216203
69.4375,0.140259,67.04041248745992,70.71887204820048,-3.6784595607405635,0.4829667951601069,67.07657888878256
84.1875,0.4375,69.67842595092762,71.71654819277823,-2.0381222418506155,0.6109107498881738,69.54777293476259
78.5625,0.11023,71.04520657386183,72.22365573405392,-1.1784491601920877,0.5545523004083277,70.2342969052213
75.0,0.10129,71.65363633172925,72.42931086486475,-0.7756745331355006,0.5217246602915626,70.45279832850028
83.125,0.194728,73.4184615114632,73.22158413413402,0.1968773773291872,0.5824364351289927,71.48187444608483
80.25,0.095804,74.46946743277655,73.74220753160557,0.7272599011709815,0.555562750138095,72.00269055833373
76.1875,0.099796,74.73378013542631,73.9233403070422,0.8104398283841192,0.5191140787026701,72.52172192392706
76.1875,0.08309,74.95742934536074,74.09105583985388,0.8663735055068571,0.51911407870267,72.91244486661107
74.4375,0.051697,74.87744021530524,74.11671837023508,0.7607218450701652,0.5026393191960141,73.17896610437496
73.8125,0.064245,74.71360325910443,74.09418367614359,0.6194195829608447,0.49657795521215164,73.38745009886493
70.6875,0.042602,74.09420275770375,73.84183673716998,0.25236602053377055,0.4662995111853347,73.5587131958008
69.0,0.061296,73.31047925651856,73.48318216404628,-0.17270290752772155,0.4503312848523222,73.65775611990432
64.75,0.087264,71.9934824478234,72.83627978152433,-0.8427973337009291,0.41205927696007805,73.88129543533647
63.5625,0.056858,70.69640822508134,72.14933313104103,-1.4529249059596907,0.4017845167074826,74.10922278172723
70.4375,0.084412,70.65657619045345,72.02253067688984,-1.3659544864363937,0.48227345539620164,74.17600945331141
68.4375,0.058693,70.31517985346062,71.75697284897208,-1.441792995511463,0.46276680386821,74.30109861316146
69.125,0.048705,70.13207526062052,71.56201189719637,-1.429936636575846,0.4706922732215053,74.41371304339516
65.75,0.050577,69.45790983590967,71.13149249740404,-1.6735826614943647,0.43663815845076676,75.03701922233897
68.875,0.071485,69.36823139961588,70.96434490500374,-1.5961135053878621,0.4745459267254819,75.3648266007962
65.875,0.055767,68.83081118429035,70.58735639352199,-1.756545209231632,0.44368084803487107,75.63202481543338
62.5625,0.079801,67.86645561747645,69.99292258659443,-2.1264669691179847,0.4118296300790514,75.54207766395983
62.5,0.060595,67.04084706094162,69.43789128388374,-2.397044222942128,0.411229771707737,72.60888483163185
63.9375,0.076658,66.56340905156598,69.03045489248495,-2.4670458409189706,0.4317318081543474,71.74286276446983
63.5,0.041788,66.09211535132506,68.6207915671157,-2.5286762157906395,0.4268599852568797,71.28281356486052
63.625,0.059407,65.71255914342889,68.25073293251454,-2.538173789085647,0.42884310759483973,69.20776658349243
68.8125,0.083125,66.18947312136291,68.29234530788383,-2.1028721865209263,0.5053376441126294,68.3801021598636
66.875,0.037135,66.29493879499938,68.1873567665591,-1.8924179715597234,0.47950683091011775,67.71483842216381
65.3125,0.056343,66.14379436499948,67.97440441348066,-1.8306100484811765,0.45912467768446874,67.03158199784606
65.625,0.048053,66.06397984730725,67.80037445692653,-1.736394609619282,0.4640315993880743,66.66380691805824
63.75,0.060827,65.70798294772152,67.50034671937642,-1.7923637716549052,0.4383362077684814,66.14267492964987
66.25,0.097031,65.79137018653358,67.40772844386706,-1.6163582573334736,0.47970569848364614,65.99907726011506
64.8125,0.052985,65.64077477322073,67.21548929987691,-1.5747145266561802,0.458780885279249,65.80435252333514
