PFE Close,PFE Volume,EMA 12,EMA 26,MACD,RSI,VWMA
30.241936,0.128733,31.455856356461577,32.1675208506706,-0.7116644942090211,0.35295172376853245,31.80904177199305
29.115274,0.14209,31.095766763159798,31.941428491361663,-0.8456617282018648,0.30215334506110253,31.56970912265942
29.589659,0.129816,30.864057876519826,31.767223343853388,-0.9031654673335616,0.34490572843010253,31.424628952132
30.657021,0.111153,30.83220604936293,31.68498613319758,-0.8527800838346487,0.4295815410198101,31.346060277775685
32.732449,0.179622,31.124551118691713,31.762575975182948,-0.638024856491235,0.5510875683060042,31.418703424712902
32.673149,0.104137,31.362796946585295,31.8300258288731,-0.4672288822878059,0.5474990158533185,31.43994242418453
32.258064,0.097471,31.500530339418326,31.861732360067684,-0.36120202064935825,0.521881466136923,31.474722894967492
33.325428,0.114233,31.78128382566166,31.97015425932193,-0.18887043366027,0.5767262998764562,31.552629361392444
35.104362,0.277059,32.29252662171371,32.202317795668456,0.09020882604525582,0.6489943339201537,31.89961157217669
35.104362,0.170558,32.7251166799116,32.41728403302635,0.30783264688525236,0.6489943339201537,32.097375294259194
34.629982,0.114596,33.01817288300212,32.581187586135506,0.4369852968666166,0.6164440683928254,32.26511116823851
35.104362,0.105964,33.33912505484795,32.76808939456991,0.5710356602780351,0.6360994304972591,32.43786624205814
34.526211,0.084113,33.52175366179442,32.898320624601766,0.6234330371926546,0.5960121104154718,32.593876700186634
33.266129,0.130228,33.48242679074912,32.92556568944608,0.556861101303042,0.5192109056221305,32.66191357340767
32.613853,0.137345,33.3488000537108,32.90247586059822,0.44632419311257365,0.4844135302186213,32.66891350894734
33.088234,0.099036,33.30871296852452,32.91623572277613,0.39247724574838827,0.5101273415755044,32.683969131117706
33.088234,0.077288,33.27479312721305,32.92897633590382,0.3458167913092325,0.5101273415755044,32.71844040327874
32.732449,0.090587,33.191355569180274,32.9144187554665,0.27693681371377465,0.4889178363521143,32.76743260804359
33.384724,0.118346,33.22110455853716,32.9492561809875,0.2718483775496594,0.5276889128219867,32.853963065073124
34.333492,0.106345,33.39224108799298,33.05179216758101,0.3404489204119656,0.5778531967997872,32.9654443114046
35.104362,0.123457,33.655644305224826,33.203834377389825,0.45180992783500074,0.6137488652411407,33.209997106904716
34.155598,0.075271,33.732560258267156,33.27433538647206,0.4582248717950961,0.5515831072318247,33.47689355858172
33.799809,0.092689,33.74290621853375,33.3132593578445,0.42964686068924607,0.5299071007027306,33.698747218890404
33.918407,0.06966,33.76990633875933,33.35808510911528,0.41182122964404755,0.5364464978651188,33.847986132980715
35.104362,0.133999,33.97520720971943,33.48743895288452,0.48776825683491154,0.5968420287183724,34.00675765321511
35.875237,0.161902,34.267519485147204,33.66431288230048,0.6032066028467256,0.6305377986556631,34.19220357211131
34.274193,0.118124,34.26854617973994,33.709489187315256,0.5590569924246864,0.5312293526341987,34.27476248472925
33.206833,0.111487,34.105205690549184,33.672255395662276,0.4329502948869077,0.47726276565424874,34.270336008815896
33.206833,0.107213,33.96699450738777,33.63777966265026,0.32921484473750695,0.47726276565424874,34.115460092754354
33.206833,0.088466,33.85004658317426,33.60585768763913,0.24418889553513168,0.47726276565424874,33.99941429845265
33.740513,0.082557,33.83319526268592,33.61583215522142,0.21736310746450016,0.5084471491633494,33.955123267036626
32.020874,0.104071,33.554376606888084,33.4976871066865,0.056689500201585474,0.42124461087128373,33.802164439316364
32.258064,0.089538,33.35494389813607,33.40586317285787,-0.05091927472179947,0.4356225530591853,33.70811620213268
32.258064,0.108711,33.18619314457668,33.320841011905436,-0.13464786732875922,0.4356225530591852,33.66037139151049
31.783682,0.09207,32.970422199257186,33.206977381393926,-0.23655518213674043,0.4118879504066406,33.64620497695748
32.258064,0.095811,32.860828630140695,33.13668750129067,-0.2758588711499783,0.44448314182458115,33.6082384477518
31.368595,0.097881,32.63125422550367,33.00571768638025,-0.37446346087658355,0.3997463104667284,33.52167538083488
30.716318,0.087008,32.33664865234926,32.836132524426155,-0.49948387207689393,0.37031138610518166,33.43807837257714
30.538425,0.085461,32.05999885968014,32.665931967061255,-0.6059331073811123,0.3624723119030815,33.31921707208519
30.479128,0.124473,31.816787958190886,32.50394648801968,-0.6871585298287926,0.35973865902189434,33.094138310538
30.241936,0.115868,31.574503041546137,32.336390155573774,-0.7618871140276369,0.3484192773569683,32.81079771563464
30.360531,0.088032,31.3877381120775,32.190030218123866,-0.8022921060463659,0.3592749889107265,32.65657722751544
30.95351,0.105886,31.3209337871425,32.09843612789247,-0.7775023407499688,0.41202321563950184,32.51815082071861
30.064041,0.111526,31.127565666043655,31.94774019249303,-0.8201745264493745,0.3636607136887424,32.34221521942776
28.462997,0.153203,30.717632025113865,31.689611067123174,-0.9719790420093091,0.2962533329216422,31.889278474693896
30.775618,0.198219,30.726552944327118,31.621907876965903,-0.8953549326387851,0.45375479344497704,31.48935174622888
32.613853,0.19182,31.016906799046023,31.695385293486947,-0.6784784944409239,0.5415789580590596,31.438775804110296
33.206833,0.205264,31.353818522269712,31.807344382858282,-0.45352586058857014,0.5658289156289601,31.5098420520707
32.554554,0.123014,31.538547057305145,31.8626932433873,-0.3241461860821566,0.5324622147742691,31.48709703415459
31.54649,0.09108,31.53976904848897,31.83927078091417,-0.29950173242519895,0.48487429871411586,31.42469895317996
33.444023,0.163515,31.832731194875283,31.95814131566127,-0.12541012078598612,0.5638863732447209,31.48184424048583
34.629982,0.193431,32.26307747258678,32.1560554404271,0.10702203215967643,0.6046971799599096,31.701071640500427
