UNH Close,UNH Volume,EMA 12,EMA 26,MACD,RSI,VWMA
6.71875,0.034312,6.522765972383768,6.511686130469008,0.011079841914759747,0.5770932628333001,6.432730397172124
6.632813,0.059976,6.539696284324727,6.520658491175007,0.019037793149719207,0.5423141237962725,6.434282053847697
6.617188,0.105624,6.5516180867363065,6.527808825162044,0.023809261574262663,0.535989227568721,6.445756388013363
6.859375,0.153,6.59896530416149,6.552369282557448,0.04659602160404219,0.611601970393954,6.493934968915539
7.664063,0.161608,6.762826488136645,6.634716965330971,0.12810952280567456,0.7546567606276734,6.645084746753327
7.53125,0.09336,6.881045489961776,6.701126819750899,0.1799186702108777,0.7082872456292872,6.718645291625181
7.546875,0.09988,6.983480799198427,6.7637748331026835,0.21970596609574322,0.7105406276513693,6.792817562416091
7.476563,0.063784,7.059339599321746,6.816573956576558,0.2427656427451872,0.6849015916892971,6.836500499359303
7.710938,0.069816,7.1595855071184005,6.882823144978295,0.2767623621401052,0.7210364793296167,6.886886641554875
7.703125,0.092928,7.243206967561724,6.943586245350273,0.29962072221145064,0.7180802053763167,6.969454540230079
7.375,0.055144,7.263482818706073,6.975542819768771,0.2879399989373024,0.6057520751376914,7.0257198588305805
7.4375,0.077304,7.290254692751293,7.009761870156269,0.28049282259502384,0.6180093435059076,7.090363463765538
7.625,0.084576,7.341753970789556,7.055335064959508,0.2864189058300477,0.6528763323469438,7.145342779734043
7.296875,0.128808,7.334849513745009,7.073226911999545,0.26162260174546415,0.5570511772186727,7.195512063383801
6.898438,0.095032,7.267709280861162,7.060279585184764,0.20742969567639769,0.4673503926112724,7.199570898613679
6.898438,0.08416,7.210898314574829,7.048291319615522,0.1626069949593063,0.4673503926112724,7.207757938479428
6.882813,0.087976,7.160423650794086,7.0360336663106695,0.12438998448341643,0.4639525408007153,7.21423388052191
6.773438,0.090536,7.100887396825764,7.016582135472842,0.08430526135292205,0.4398454581154321,7.205232938975188
6.578125,0.127544,7.020462412698723,6.98410382914152,0.03635858355720334,0.39988721478358125,7.1696684610645605
6.625,0.047904,6.959622041514304,6.957503545501408,0.00211849601289682,0.4136546974689388,7.1588806225739985
6.804688,0.03984,6.935786035127488,6.946183875464266,-0.010397840336778152,0.4643817366285715,7.159425337681988
6.984375,0.0666,6.9432612604924895,6.949012847652098,-0.005751587159608107,0.5100313038353871,7.170341020326236
6.921875,0.137208,6.939971066570568,6.947002636714904,-0.007031570144336641,0.4942523546627498,7.183445276690246
7.09375,0.071992,6.96362936402125,6.9578728117730595,0.005756552248190161,0.5367006552581258,7.207727602126124
7.273438,0.116168,7.011292231094904,6.981248010900981,0.030044220193922833,0.5767010836357059,7.169523780542716
7.0,0.083256,7.009554964772612,6.982637047130538,0.02691791764207352,0.5052175717116428,7.141691257234128
6.742188,0.075264,6.9684215855768254,6.96482600660235,0.0035955789744752664,0.44873967382725743,7.100096551731297
7.234375,0.20888,7.009337495488083,6.98479259870588,0.02454489678220284,0.5517598957746381,7.102288668316552
7.0,0.18896,7.007900957720686,6.985919072875815,0.021981884844871402,0.5035056104892568,7.070748155426308
7.109375,0.07276,7.023512348840581,6.995063956366495,0.02844839247408526,0.5244087296014018,7.041904050022888
7.421875,0.168856,7.0847989105574145,7.0266795892282365,0.058119321329177964,0.5789524251032244,7.064202256346828
7.664063,0.164128,7.17391646277935,7.07389317521133,0.10002328756802026,0.6157339695718624,7.096717194976004
7.859375,0.124192,7.279371622351757,7.132077014084564,0.14729460826719265,0.6428316866387115,7.11966879254554
7.234375,0.151704,7.272449065066871,7.139654642670894,0.13279442239597739,0.5171544205634214,7.11720656596216
7.351563,0.058288,7.284620439671967,7.155351558028604,0.12926888164336248,0.5354919369167314,7.133109957954331
7.15625,0.098064,7.264871141260895,7.155418109285745,0.10945303197514988,0.5013192352784784,7.143209951103609
6.578125,0.13012,7.159217888759219,7.1126556567460595,0.046562232013159566,0.41657748088052404,7.120431302091921
6.40625,0.096584,7.043376675103954,7.060329311801907,-0.016952636697952883,0.39518976458223193,7.103574101985719
6.429688,0.085336,6.948963032780269,7.013615140557322,-0.06465210777705277,0.3997158011561304,7.107924826317504
6.390625,0.077112,6.8630648738909965,6.967467722738261,-0.1044028488472648,0.3944181236583807,7.093399380995544
6.828125,0.125648,6.857689508676997,6.957146039572464,-0.09945653089546713,0.4778822422191008,7.08391315950146
6.5625,0.075384,6.812275738111305,6.927912999604133,-0.11563726149282783,0.43837737159588325,7.069766697919913
6.804688,0.037944,6.811108393786489,6.9187852218556785,-0.10767682806918977,0.48054202421928127,7.074396026066659
6.5625,0.040904,6.772860948588567,6.892393723940443,-0.11953277535187556,0.44459574722692213,7.064149917535348
6.125,0.086104,6.673190033421095,6.835549744389299,-0.16235971096820379,0.3881158336295247,7.015218663923688
5.953125,0.103632,6.562410797510158,6.77018494850861,-0.20777415099845165,0.3683200188837699,6.965077343778228
6.132813,0.067,6.496318828662442,6.722972211582046,-0.22665338291960335,0.4026244715917832,6.947041552020726
6.359375,0.067104,6.475250547329759,6.6960390847981905,-0.2207885374684313,0.44364999723611676,6.897803109997703
6.257813,0.062824,6.441798616971335,6.663577893331658,-0.2217792763603228,0.42941324203270237,6.866373506491039
6.257813,0.039496,6.413493137437284,6.6335212345663495,-0.2200280971290658,0.42941324203270237,6.843950395183034
6.429688,0.12876,6.415984654754625,6.618422476450323,-0.2024378216956988,0.4632210376470487,6.76103870944577
6.515625,0.11164,6.431313938638528,6.6108078485651145,-0.17949390992658643,0.47981703853747404,6.661703047121911
