C Close,C Volume,EMA 12,EMA 26,MACD,RSI,VWMA
397.5,0.016819,411.2686677996734,409.9738278250222,1.294839974651154,0.43724966722775976,412.7933475106663
373.125,0.024032,405.4004112151082,407.2442850231687,-1.8438738080604935,0.34954534774220297,408.354553120285
388.125,0.017425,402.74265564355306,405.82804168811913,-3.0853860445660644,0.4258650703432128,405.7704382395915
406.875,0.018632,403.3784009291603,405.9055941556659,-2.527193226505574,0.5041790553726593,405.1811786518343
405.0,0.013945,403.6278777092895,405.83851310709804,-2.2106353978085167,0.49688008454918364,404.74531798424846
403.59375,0.008503,403.6226272924757,405.6722343584241,-2.0496070659483507,0.4911372585758894,403.79163015268074
398.4375,0.009966,402.8249154013256,405.1363281096519,-2.3114127083263156,0.46970087361954244,403.0877731069027
412.5,0.011457,404.3133899549678,405.6817852867147,-1.3683953317469104,0.5299567908034425,403.6349825308354
417.1875,0.012379,406.29402226958814,406.5340604506618,-0.2400381810736576,0.5483779663194389,404.04276377457063
435.0,0.022254,410.71032653580534,408.6426485654276,2.0676779703777584,0.6107978640514071,406.74686177871973
438.75,0.015717,415.02412245337376,410.87282274576626,4.151299707607507,0.6226232188619141,408.62882388295003
448.125,0.019552,420.1165651528547,413.6322432831169,6.484321869737812,0.6511590859232221,411.6798354396509
439.570313,0.013582,423.1094494370309,415.5535817806638,7.55586765636707,0.6061197610674623,412.6735636209991
423.28125,0.015479,423.1358802928723,416.12600164876284,7.009878644109449,0.5308298528201354,413.31645473688167
413.90625,0.011432,421.71593717089195,415.96157560070634,5.754361570185608,0.4928824923166852,413.19252659880146
419.0625,0.015418,421.3077160676778,416.19127370435774,5.116442363320061,0.5134827134878769,413.68285356327385
435.9375,0.013343,423.5584520572658,417.6539571336646,5.904494923601192,0.5744145845368342,414.7111326736177
442.5,0.014491,426.472536356148,419.49440475339316,6.978131602754843,0.5956246092439468,416.20036822826324
420.9375,0.012071,425.62099230135595,419.6013006975862,6.019691603769729,0.5063339612054023,416.4219703621433
427.5,0.013604,425.91007040883966,420.18638953480206,5.723680874037598,0.5294540891388481,416.91344306971985
436.875,0.011974,427.5969826536335,421.42258290259446,6.174399751039061,0.56107904583052,418.8288465896238
433.125,0.013189,428.44744686076683,422.2894286135134,6.1580182472534375,0.5452919693732969,423.3536285390119
422.34375,0.019002,427.508416574495,422.29345241991984,5.214964154575171,0.5015948078286155,425.4329639713486
410.625,0.014662,424.91096787072655,421.4291226110369,3.481845259689635,0.4585783605875733,425.88916430099283
407.8125,0.012441,422.28043435215324,420.42048389910826,1.8599504530449735,0.44863416236904524,426.12589809018385
420.0,0.013205,421.92959829797576,420.38933694361873,1.5402613543570283,0.49930268681215695,426.5140165502038
406.40625,0.012652,419.5413908675179,419.3535527255729,0.18783814194500792,0.44966651441031946,426.6022650689673
402.65625,0.011243,416.94367688789976,418.1167154866416,-1.1730385987418686,0.43676736034883196,426.22805881735894
405.0,0.013263,415.1061881359152,417.1451069320756,-2.038918796160374,0.4474362150481848,425.6402211518224
405.0,0.011537,413.55138996115903,416.24546938155146,-2.694079420392427,0.44743621504818476,424.03357186850064
411.5625,0.014031,413.2454068902115,415.8985827606958,-2.65317587048429,0.4794557512253896,422.56245538512735
402.1875,0.009103,411.5441904455636,414.88294700064426,-3.3387565550806926,0.44021111845946126,419.9835492682804
393.75,0.012874,408.80662268470763,413.3175435191151,-4.510920834407443,0.40785442680685163,417.7053370293644
385.78125,0.020391,405.2642576562911,411.2778180732547,-6.013560416963628,0.3794844982321459,414.9739454054074
382.5,0.019474,401.76206417070784,409.1461278456062,-7.384063674898357,0.36812948950013674,412.7427831171214
382.03125,0.015553,398.72655429829126,407.13761837556126,-8.411064077269998,0.36644260233178816,410.6748663040311
369.375,0.031566,394.2109305600926,404.3403873847789,-10.129456824686315,0.3233584031383173,405.13788709478746
360.0,0.018849,388.94771047392453,401.0559142451657,-12.108203771241165,0.2956307807066841,400.5077158453725
