SNE Close,SNE Volume,EMA 12,EMA 26,MACD,RSI,VWMA
138.25,0.02587,125.60046837123069,111.85855649402237,13.741911877208324,0.805159186334735,119.57429023068882
135.0,0.030196,127.04655016027212,113.57273749446516,13.47381266580696,0.750186795172936,123.1386653718091
125.0,0.030868,126.73169628946101,114.41920138376403,12.31249490569698,0.6117794644283687,123.96119849812527
108.0,0.039226,123.84989686031317,113.9437049849667,9.906191875346465,0.45731230247312776,121.50995377914403
117.1875,0.02244,122.8249127279573,114.1839860971914,8.640926630765904,0.52684342849692,121.96431617136912
125.0,0.022976,123.15954153904079,114.98517231221425,8.174369226826542,0.5765290033472543,122.66751157611317
116.25,0.017072,122.09653514841914,115.07886325205023,7.01767189636891,0.5117166624892864,122.57113545668452
112.8125,0.021902,120.66822204866236,114.9109844926391,5.757237556023256,0.4884836300552947,122.25730878580734
115.15625,0.009652,119.82022634886815,114.92915230799917,4.891074040868972,0.504986028120405,122.39970997311251
113.5,0.012832,118.84788383365766,114.82328917407331,4.024594659584352,0.49288472415453866,122.22760938317285
115.5625,0.00923,118.34244016694109,114.87804553154936,3.464394635391727,0.508674461145073,122.34595961403843
112.6875,0.005206,117.47244937202709,114.71578289958273,2.7566664724443513,0.4859602566725192,122.70992300412107
114.0,0.004526,116.93822639171523,114.66276194405809,2.275464447657143,0.49700280495701576,122.77384971493949
117.5,0.005168,117.02465310068212,114.87292772597971,2.1517253747024085,0.526230408450934,122.91864816866529
116.6875,0.006342,116.97278339288486,115.00734048701825,1.9654429058666096,0.5186954631860794,122.86554179210027
119.625,0.005372,117.38081671705643,115.34938933983172,2.0314273772247162,0.5441111760942694,122.63628956167649
122.625,0.007554,118.1876141452016,115.88832346280714,2.2992906823944566,0.5691348881054029,122.15180383096046
123.375,0.004426,118.98567350747828,116.4428920951918,2.5427814122864874,0.575409512586861,121.50917781056744
121.53125,0.006884,119.37730066017393,116.81980749554795,2.5574931646259813,0.5540486036833814,121.0092884595587
126.5,0.006282,120.47310055860872,117.53685879217403,2.9362417664346907,0.597421918325108,120.86005989306996
126.6875,0.004078,121.42916201113046,118.2146840668278,3.214477944302658,0.5990068511014985,119.29480140101091
129.71875,0.005482,122.70448324018732,119.06683709891462,3.637646141272697,0.6247292020085167,117.60971146542879
131.375,0.005962,124.03840889554311,119.97855286936539,4.059856026177727,0.6383786954227673,116.95361576419961
134.65625,0.010304,125.6719229116134,121.06578969385684,4.60613321775655,0.6644201785113752,119.70864945273375
138.9375,0.005106,127.71278092521133,122.38962008690449,5.323160838306848,0.6952564705511439,120.58617618623693
136.75,0.008406,129.10312232133268,123.45335193231897,5.64977038901371,0.6617944920443237,120.79918032153587
133.8125,0.004788,129.82764196420456,124.22069623362867,5.606945730575887,0.6187297294423676,121.73543121496702
133.5,0.00321,130.3926201235577,124.9080520681747,5.484568055382994,0.6141511473382364,123.51812600336366
130.5625,0.00225,130.4187554891642,125.32690006312471,5.091855426039487,0.5713509736690335,124.30056043773499
128.15625,0.003884,130.07067772160048,125.53648153993029,4.534196181670183,0.5382599727448419,125.64223691682682
129.0,0.003898,129.90595807212347,125.79303846289842,4.112919609225045,0.5481424583287205,126.61471448665786
125.28125,0.005138,129.19446452256602,125.75512820638743,3.439336316178597,0.497593602067223,127.216710984779
131.0,0.006068,129.472239211402,126.1436372281365,3.3286019832655143,0.5641571719900972,127.96512269217553
133.6875,0.00873,130.1207408711863,126.70244187790416,3.41829899328215,0.5915450067535215,128.87644419431697
137.03125,0.00846,131.18389612177302,127.46753877583718,3.7163573459358332,0.6232650463701968,130.13452318501575
140.4375,0.005986,132.6075274876541,128.4282766442937,4.179250843360393,0.6528414133789753,131.14508623049548
139.03125,0.00924,133.59579248955347,129.21368207804971,4.38211041150376,0.6308229457078147,132.30233509301578
137.9375,0.004766,134.26374749116064,129.859890813009,4.403856678151641,0.6134917573771862,132.86042847412588
144.59375,0.013026,135.8529786463667,130.95128778982314,4.901690856543553,0.672467279497097,134.70610997169447
156.75,0.016092,139.06790500846412,132.8623035090955,6.205601499368612,0.7480713629430955,137.71841079451931
156.0,0.015666,141.67284269946964,134.57620695286622,7.096635746603425,0.7367715890205341,139.98100061790768
149.96875,0.006868,142.94913613032048,135.716395326728,7.232740803592492,0.6515403516740584,140.82547278285807
149.71875,0.006816,143.99061518719427,136.7536067840074,7.237008403186877,0.6481931052104717,141.61201429705048
135.9375,0.012122,142.75167438916438,136.69315442963648,6.058519959527899,0.4967050915341509,141.63118605500932
133.75,0.010088,141.366801406216,136.47514299040415,4.891658415811861,0.477623960946052,141.20835262568968
138.09375,0.008514,140.86325503602893,136.59503980592976,4.268215230099173,0.5172794004729596,141.27877988239828
129.53125,0.020332,139.11986964587064,136.07179611660163,3.048073529269004,0.44548749455657394,140.0921162374236
121.875,0.01827,136.46681277727515,135.02018158944597,1.4466311878291833,0.3929693704496011,138.41841812377157
112.75,0.021878,132.81807235000204,133.37053850874628,-0.5524661587442381,0.34132290844251034,135.77611074270555
120.65625,0.016976,130.94702275769401,132.42873935995027,-1.481716602256256,0.4132743209545316,134.73890675957136
127.46875,0.013202,130.41190387189494,132.0613327406947,-1.6494288687997596,0.46727401530617013,134.4163910041273
125.0,0.013156,129.57930327621878,131.5382710561988,-1.9589677799800143,0.4510724207090075,134.0907032519809
124.03125,0.00457,128.72575661833898,130.98219542240628,-2.256438804067301,0.4445586202311354,133.97476550319905
123.6875,0.003106,127.95064021551758,130.44184761333915,-2.4912073978215687,0.4421188837690081,133.8462624490473
