TSCO Close,TSCO Volume,EMA 12,EMA 26,MACD,RSI,VWMA
0.992188,0.001312,0.9448951582650373,0.9618862100219332,-0.01699105175689586,0.5433867934490032,0.8880812671245256
0.970703,0.000672,0.9488655954550316,0.962539305575864,-0.013673710120832405,0.509557807653922,0.8859818800074702
0.976563,0.001296,0.9531267346157959,0.9635780977554296,-0.010451363139633685,0.5183651473315976,0.8992797965182648
0.960938,0.001888,0.9543284677518273,0.963382534958731,-0.009054067206903715,0.49294586735475326,0.902275257992565
0.984375,0.001168,0.9589510111746231,0.9649375323691954,-0.005986521194572325,0.5301628755508943,0.90749753565365
0.9375,0.000192,0.9556508556092965,0.9629051225640698,-0.00725426695477327,0.4577897771603642,0.9078533632132391
0.945313,0.000864,0.9540604162847893,0.9616020023741386,-0.007541586089349295,0.4707580850169693,0.9085907397406287
1.0,0.000608,0.9611280445486678,0.9644462984945728,-0.003318253945904903,0.5515993029703963,0.9106070457392293
0.984375,0.001568,0.9647044992334882,0.9659224986060858,-0.001217999372597589,0.5268378462255279,0.9142557782991203
1.015625,0.003408,0.9725384224283362,0.9696041653760055,0.0029342570523307465,0.5685530671023996,0.9199716834460805
1.003906,0.001568,0.9773642035932075,0.9721450420148199,0.005219161578387643,0.549005771809006,0.9232994771708112
0.958984,0.002416,0.9745364799634832,0.9711701500137222,0.003366329949761049,0.4807708074627697,0.9268997088607595
0.984375,0.003008,0.9760500984306397,0.9721482870497428,0.003901811380896958,0.5172900463947873,0.9404120448000001
0.953125,0.002752,0.9725231602105413,0.9707391546756877,0.0017840055348535833,0.47317940712736273,0.9572918842177809
0.925781,0.003264,0.9653320586396889,0.9674089209960072,-0.002076862356318321,0.4379856360474465,0.9588251477591035
0.914063,0.025872,0.9574445111566597,0.9634573712925992,-0.006012860135939491,0.42345051133707995,0.9446120455833119
0.9375,0.002336,0.954376124824866,0.961534603048703,-0.007158478223836973,0.46191359700015044,0.9482831295567794
1.066406,0.008176,0.971611490236425,0.9693028546747249,0.002308635561700134,0.6143167883802366,0.9623752437822618
1.03125,0.00504,0.9807866455846673,0.9738915321062267,0.006895113478440629,0.5671385000152384,0.9664047233848955
1.125,0.009824,1.0029733154947185,0.98508475195021,0.017888563544508518,0.6453552601977607,0.9853045709550445
1.101563,0.000976,1.018140959264762,0.9937127703242685,0.024428188940493367,0.6154163938782405,0.9866627322097378
1.007813,0.010736,1.0165520424547985,0.99475723178173,0.021794810673068432,0.5129138068912364,0.9893972563017482
0.992188,0.005728,1.0128037282309834,0.9945669183164167,0.018236809914566665,0.49802531805039557,0.9897541647408963
1.015625,0.003888,1.0132377700416013,0.9961267762189044,0.017110993822696874,0.5205083044240878,0.9914137365084803
1.070313,0.001264,1.0220185746505859,1.0016220520545411,0.02039652259604474,0.5690157382362376,0.992568429231559
1.074219,0.000752,1.0300494093197265,1.0069996037542048,0.02304980556552172,0.5723434615356591,0.9933337232051719
1.070313,0.001472,1.0362438078859224,1.011689484957597,0.02455432292832538,0.5676235820525818,0.9949691546653144
1.09375,0.004544,1.0450909143650113,1.0177680416274046,0.027322872737606696,0.5894983548138317,0.9994908339824733
1.109375,0.003312,1.054980773693471,1.0245537422475968,0.03042703144587433,0.6038864703557212,1.0033542328177325
1.046875,0.002208,1.0537337315867832,1.0262071687477747,0.02752656283900845,0.524669297283084,1.0039017138476436
1.039063,0.010064,1.0514766959580473,1.0271594525442358,0.024317243413811473,0.5155656604480431,1.0071893649472274
1.039063,0.020416,1.0495668965798863,1.0280411968002183,0.021525699779668006,0.5155656604480431,1.0132960598573613
1.046875,0.006624,1.0491527586445193,1.0294362933335355,0.01971646531098381,0.5251217652757799,1.0156900732854668
1.03125,0.007936,1.046398488083824,1.0295706419754957,0.016827846108328215,0.503718673673198,1.0178894206141396
1.03125,0.002016,1.0440679514555433,1.0296950388661998,0.014372912589343478,0.503718673673198,1.0203490014416148
1.015625,0.002048,1.0396921127700751,1.0286528137649997,0.011039299005075387,0.4809826122260535,1.045405298756401
1.023438,0.004768,1.0371914800362174,1.0282665312638888,0.008924948772328634,0.493298392911502,1.0467231631601546
1.054688,0.003744,1.039883252338338,1.0302236770961932,0.009659575242144669,0.5402861296773338,1.0455019771982117
1.085938,0.001216,1.0469685981324397,1.0343506639779567,0.01261793415448298,0.582027319564721,1.0466706544583526
1.125,0.002448,1.0589734291889874,1.0410654296092192,0.017907999579768186,0.6275506078488283,1.0406623635607322
1.179688,0.003296,1.077544901621451,1.0513337681566846,0.026211133464766334,0.680084882510935,1.0447118099106418
1.125,0.00048,1.0848456859873814,1.0567905260710042,0.028055159916377193,0.5904022840792645,1.04963885872325
1.109375,0.003072,1.0886194266047073,1.0606856722879667,0.02793375431674061,0.5673808484739258,1.0556292750560958
1.140625,0.000528,1.096620284050137,1.0666071039703395,0.030013180079797364,0.6008991287711807,1.0580671687427015
1.097656,0.001248,1.0967796249655004,1.0689070221947587,0.02787260277074166,0.5390549363235647,1.0584799598987737
1.109375,0.004496,1.0987173749708081,1.0719046501803322,0.026812724790475917,0.5525798009326583,1.06100495922547
1.085938,0.004016,1.0967513172829915,1.0729441575743817,0.023807159708609804,0.5197353387991914,1.0619817862567813
1.109375,0.000464,1.0986934223163773,1.0756427384947977,0.0230506838215796,0.5486279313387888,1.0605319721327016
1.128906,0.000368,1.1033415111907807,1.0795881652729609,0.023753345917819857,0.5717491771467081,1.058854913769397
1.070313,0.001232,1.0982602017768146,1.0789011159934823,0.01935908578333234,0.4905637723029071,1.0593589894632207
