ABT Close,ABT Volume,EMA 12,EMA 26,MACD,RSI,VWMA
15.711531,0.10635,16.374354054993717,16.502387545600403,-0.12803349060668623,0.4079677117463351,16.398867485575888
15.26263,0.107346,16.20331958499468,16.410553653333704,-0.20723406833902303,0.3698420927493524,16.353070882749
15.234573,0.117225,16.054281648841652,16.323443975308987,-0.2691623264673346,0.36753024336978973,16.31429867338492
15.767643,0.174795,16.010183395173705,16.282273532693505,-0.2720901375198004,0.4392502000339756,16.28942703754537
15.935981,0.157559,15.998767642070058,16.25662223397547,-0.2578545919054118,0.4600720202963802,16.295675923458454
15.823756,0.10442,15.97184277405928,16.224558068495806,-0.25271529443652696,0.4481255018060278,16.296117035681796
15.599305,0.095331,15.914529270357852,16.178243026385008,-0.2637137560271565,0.4243900581932143,16.311145180253423
15.290687,0.083299,15.818553536456644,16.112498135541674,-0.29394459908503023,0.39352583611252473,16.341786697434475
15.150405,0.106158,15.715761453924852,16.0412319773534,-0.32547052342854954,0.37999774459680175,16.321519714555187
15.487081,0.112175,15.68057984562872,16.000183756808706,-0.31960391117998554,0.4305899170452371,16.169136466553834
15.150405,0.113486,15.599014484762764,15.937237182230284,-0.3382226974675202,0.3958075733394908,15.97746203291424
14.841785,0.168497,15.482517640953107,15.856092576139151,-0.3735749351860438,0.36657578713057665,15.827188734765569
14.392884,0.154291,15.31488169619109,15.747706755684398,-0.4328250594933074,0.3285652448258873,15.660847005306728
14.000096,0.189035,15.112606973700153,15.618254107115183,-0.5056471334150299,0.2993191971599755,15.463750633520805
13.467027,0.206065,14.85944082390013,15.458903951032577,-0.5994631271324469,0.26486233932645625,15.225379831525103
13.298689,0.227253,14.619325158684724,15.298888028733867,-0.6795628700491427,0.25488380489847634,14.985713942616849
13.326745,0.140373,14.420466672733228,15.152803359938765,-0.732336687205537,0.2598884353378345,14.852935798254478
13.831758,0.161056,14.329896107697348,15.05494814809145,-0.7250520403941021,0.34514965816519316,14.75303500906056
14.308716,0.138311,14.326637629590063,14.999671692677268,-0.6730340630872043,0.41383109981471283,14.695045922927639
14.617335,0.11452,14.371360301960824,14.971350456182655,-0.5999901542218318,0.4537532064387602,14.67371010199007
14.757616,0.080506,14.430784255505312,14.955518274243198,-0.5247340187378864,0.47137692979454726,14.636054366763686
14.841785,0.103017,14.494015139273726,14.94709358726222,-0.45307844798849395,0.48217216612802566,14.619286839366127
14.925954,0.081761,14.560467271693152,14.945527691909463,-0.3850604202163108,0.49331532931047933,14.60193613777164
15.459024,0.133153,14.698706768355745,14.983564455471726,-0.2848576871159807,0.5581639841609057,14.568367979818865
15.178461,0.059316,14.77251511168563,14.998001236547895,-0.2254861248622646,0.5204118731733605,14.498659636518026
15.318743,0.10834,14.856550171426303,15.021759885692495,-0.1652097142661919,0.5372645330037165,14.479436101418393
16.188488,0.141338,15.061463683514564,15.108184190456013,-0.04672050694144936,0.6252016752784633,14.530846599433627
15.767643,0.142724,15.170106655281554,15.157032991162975,0.013073664118579131,0.5688682486773331,14.573073659784251
15.26263,0.069608,15.184341016007469,15.164854991817569,0.01948602418990042,0.5095365909848031,14.5680488650682
15.739587,0.061565,15.269763475083243,15.207427733164415,0.062335741918827736,0.5565753614568348,14.556112042384305
15.767643,0.083224,15.346360325070435,15.248925160337421,0.09743516473301383,0.5592531101407026,14.569132765396246
15.571249,0.05104,15.380958582751907,15.272801000312427,0.10815758243948004,0.534902397031913,14.571261086489004
15.374855,0.099443,15.380019570020846,15.28036055584484,0.0996590141760052,0.510943815282998,14.616181479704371
14.645391,0.098926,15.266999790017637,15.233325773930407,0.03367401608723064,0.433310807191773,14.66803864991121
14.982067,0.086561,15.22316397616877,15.214714012898526,0.00844996327024461,0.473102497348115,14.793916132926372
14.42094,0.080714,15.099744902912036,15.155915937869004,-0.05617103495696796,0.4201501009651258,14.946061092211922
14.252603,0.077405,14.969415379387108,15.089003868397226,-0.11958848901011798,0.40548750215717233,15.034085766226388
14.392884,0.095448,14.880718244096784,15.037439433701135,-0.156721189604351,0.4235417053285857,15.103538430488433
14.869842,0.092463,14.879044975774201,15.025024808982533,-0.1459798332083313,0.4812264685324647,15.150997320918805
14.813729,0.082578,14.868996364116633,15.00937326757642,-0.14037690345978682,0.47520171541194023,15.169183051614153
15.178461,0.08537,14.91660630809869,15.02189828479298,-0.10529197669429102,0.5174874093712609,15.187681299433365
15.038179,0.070377,14.935309799160429,15.023104263697205,-0.08779446453677586,0.5007743522451858,15.201621744094165
14.561222,0.118295,14.877757830058824,14.988890762682596,-0.11113293262377155,0.4478178304331845,15.172666107350938
14.028152,0.097728,14.747049240819006,14.917724928409811,-0.17067568759080487,0.3972544765337212,15.089457471632429
13.298689,0.153937,14.524224588385312,14.797796341120195,-0.2735717527348829,0.34058337590256804,14.941364472320677
13.915927,0.168259,14.430640344018341,14.732472686222403,-0.30183234220406163,0.4164429249459898,14.832307780356492
14.028152,0.119176,14.368719060323212,14.680300783539261,-0.31158172321604916,0.42929819641264483,14.68370855738999
13.887871,0.081802,14.294742435658103,14.621602281054871,-0.3268598453967684,0.41693418656395287,14.566411831514063
13.719533,0.070704,14.206248676326087,14.554782334310065,-0.3485336579839782,0.40197302935127927,14.508630920334506
13.97204,0.08679,14.170216572275919,14.511616235472284,-0.3413996631963645,0.43473897197210193,14.444241928933188
14.589278,0.090568,14.234687561156548,14.517368958770632,-0.28268139761408406,0.5059914936972821,14.393390640678469
15.487081,0.125712,14.427363474824771,14.58919948034318,-0.16183600551840804,0.5874506930768572,14.4324229915914
