AON Close,AON Volume,EMA 12,EMA 26,MACD,RSI,VWMA
39.0,0.006598,38.987243876031116,37.86244427515967,1.124799600871448,0.581914736784446,37.94317366648545
38.125,0.011605,38.85459097202632,37.88189284737007,0.9726981246562545,0.519865043180693,38.03208512835119
39.25,0.027173,38.91542313017612,37.98323411793525,0.932189012240876,0.5816334490557238,38.344559585492235
40.625,0.031236,39.17843495630287,38.178920479569676,0.9995144767331965,0.642217346241787,38.7918358556676
42.75,0.016565,39.72790650148705,38.517518962564516,1.2103875389225323,0.7117012140271417,39.208158636609326
30.125,0.085797,38.25053627048904,37.89585089126344,0.3546853792256002,0.31735924756778217,36.51911881245786
28.25,0.066067,36.711992228875346,37.18134341783652,-0.469351188961177,0.2915244619375243,34.95347088572793
27.875,0.030325,35.35245496289452,36.49198464614493,-1.1395296832504087,0.2865010976508049,34.370251244986875
30.375,0.026357,34.58669266091074,36.038874672356414,-1.4521820114456716,0.3650520123555542,34.106018598759235
29.9375,0.018032,33.87143225153986,35.58692099292261,-1.7154887413827495,0.3576317922399795,33.905462429608185
28.75,0.015009,33.0835195974568,35.080482400854265,-1.9969628033974658,0.3375745167085223,33.5502260584408
27.3125,0.028135,32.19567042861729,34.50507629708728,-2.3094058684699874,0.3145749884078328,32.86681157477392
26.375,0.013815,31.300182670368475,33.90284842322896,-2.602665752860485,0.3002094552966954,32.49300228955339
25.5625,0.011596,30.417462259542553,33.28504483632311,-2.8675825767805563,0.28793699047439986,32.18603637802348
24.25,0.014365,29.46862191192062,32.61578225585473,-3.147160343934111,0.2688195845894278,31.75023553249703
23.4375,0.022207,28.540757002394372,31.935909496161788,-3.395152493767416,0.25742518930666575,31.240947700518362
25.25,0.022514,28.0344866943337,31.440656940890545,-3.4061702465568438,0.3260523266068114,30.818758937841594
26.4375,0.025333,27.788796433666977,31.0700527230468,-3.2812562893798223,0.3673084119474665,30.537313829511394
25.875,0.010102,27.494366213102825,30.68523400282111,-3.190867789718286,0.3561856697082183,30.34423906104385
25.875,0.006483,27.245232949548544,30.328920372982513,-3.083687423433968,0.3561856697082183,30.199639571931318
26.3125,0.008203,27.10173557269492,30.031407752761584,-2.929672180066664,0.373304054360608,30.0164097845062
27.3125,0.012557,27.134160869203395,29.830007178482948,-2.6958463092795526,0.41180156372157706,29.756070824464143
27.3125,0.011316,27.16159765855672,29.64352516526199,-2.481927506705272,0.41180156372157706,29.156025479292627
27.1875,0.00656,27.165582634163375,29.461597375242587,-2.2960147410792118,0.4081666621280716,28.333674125599885
27.625,0.008713,27.23626222890747,29.32555312522462,-2.0892908963171486,0.4272231494926352,27.781275367204376
26.5625,0.010392,27.132606501383243,29.12088252335613,-1.9882760219728866,0.3940398803693766,27.200560644260367
24.4375,0.008339,26.71797473193967,28.773965299403827,-2.055990567464157,0.3375670984928844,26.90291740373059
23.4375,0.010694,26.21328631164126,28.378671573522062,-2.165385261880804,0.31470930346228193,26.67404728572313
23.9375,0.011596,25.863165340619524,28.04969590140932,-2.1865305607897945,0.3388167254430298,26.20557886802846
24.375,0.015878,25.63421682667806,27.77749620500863,-2.143279378330572,0.36003097269645906,25.85365239018725
23.8125,0.011965,25.353952699496823,27.4837927824154,-2.1298400829185766,0.3447166707130879,25.602902953874793
23.375,0.008134,25.049498438035773,27.17943776149574,-2.1299393234599684,0.3328574582588202,25.33882276820252
23.125,0.012162,24.753421755261037,26.87910903842198,-2.125687283160943,0.3259566487152801,25.17327555407472
22.6875,0.010484,24.435587639067034,26.568619480020352,-2.1330318409533184,0.3136998027958752,25.049990524078922
22.9375,0.010851,24.205112617672103,26.29964766668551,-2.0945350490134054,0.3292216901802979,25.00323565442178
22.375,0.017976,23.923556830337933,26.008933024708806,-2.0853761943708733,0.3121170068049213,24.951311539550137
22.125,0.01126,23.646855779516713,25.721234282137786,-2.074378502621073,0.30454382194227053,24.78297408710993
21.375,0.013348,23.29733950574491,25.39929100197943,-2.10195149623452,0.28240571202130627,24.38021598936469
21.5,0.007698,23.020825735630307,25.110454631462435,-2.089628895832128,0.29164786989840774,24.20654102344264
21.0625,0.012263,22.719544853225646,24.810606140242996,-2.09106128701735,0.27814522796922464,23.98251897780742
23.0625,0.012156,22.772307183498622,24.68111679652129,-1.9088096130226688,0.4121356330968862,23.847472553066304
23.125,0.011786,22.826567616806525,24.56584888566786,-1.7392812688613368,0.4157851148080613,23.614770587419653
23.8125,0.007179,22.978249521913213,24.51004526450728,-1.531795742594067,0.45580586974805837,23.430551156612015
23.3125,0.005702,23.029672672388102,24.42133820787711,-1.3916655354890075,0.4325957747953126,23.314716334364253
22.375,0.006934,22.92895379971301,24.269757599886212,-1.3408038001732017,0.39226281448038425,23.11143171953487
21.75,0.008732,22.747576292064856,24.083108888783528,-1.3355325967186715,0.3676529455963044,22.8894730450829
21.75,0.02129,22.59410301636257,23.910286008132896,-1.3161829917703258,0.3676529455963044,22.72651673915331
21.5625,0.006263,22.4353948599991,23.736375933456383,-1.300981073457283,0.35979909123957143,22.659925969229676
21.8125,0.009688,22.339564881537697,23.593866605052206,-1.2543017235145086,0.37885208585333163,22.55609410865438
21.75,0.007943,22.24886259207036,23.457283893566856,-1.2084213014964966,0.3758406377259576,22.391075011458557
24.0625,0.012023,22.527883731751842,23.50211471626561,-0.9742309845137669,0.5259784800097599,22.405514454907603
27.0625,0.018247,23.225517003790017,23.765846959505193,-0.5403299557151762,0.6452098289336274,22.74969026943769
25.875,0.010038,23.633129772437705,23.922080518060366,-0.2889507456226603,0.5827277922731479,22.870519717300475
