NKE Close,NKE Volume,EMA 12,EMA 26,MACD,RSI,VWMA
6.015625,0.080144,6.101028773454434,6.037385612343941,0.06364316111049284,0.4950310082567587,5.891736760082737
5.6875,0.098104,6.037408962153752,6.011468159577724,0.025940802576028155,0.432462086992281,5.88279441507394
6.015625,0.065424,6.034057583360867,6.0117760736830785,0.022281509677788414,0.5004580201155306,5.889748100112206
5.984375,0.048912,6.026414108997656,6.009746364521369,0.016667744476286828,0.4943830103389887,5.91226006227148
5.984375,0.039936,6.019946553767247,6.007867004186453,0.012079549580794158,0.49438301033898874,5.919152876040446
6.085938,0.039464,6.030099083956902,6.013650040913383,0.016449043043518685,0.516505097210956,5.960536726183213
6.390625,0.10976,6.0855646095019935,6.0415741119568365,0.04399049754515705,0.5763847300559084,6.021347969425079
6.171875,0.100504,6.098843131117071,6.051226029589663,0.0476171015274085,0.5260155763595786,6.140573188225089
6.25,0.051448,6.122098034022137,6.065950027397836,0.056148006624301416,0.5414285299563231,6.237712548105096
6.414063,0.076808,6.167015721095655,6.091736173516515,0.07527954757914035,0.5728419821024457,6.282232224689978
6.328125,0.08356,6.191801764004016,6.1092464569597364,0.08255530704427994,0.551529375934128,6.186299510106562
6.601563,0.102992,6.254841954157245,6.145714349036792,0.10912760512045239,0.6022381548250658,6.200849660662569
6.445313,0.051032,6.284145191979206,6.1679068417007334,0.11623835027847296,0.5630595200944155,6.216077731182151
6.335938,0.102656,6.292113316290098,6.180353594167346,0.11175972212275198,0.536737125774973,6.227055996423189
6.210938,0.057336,6.27962480609162,6.182619105710505,0.09700570038111511,0.5075350480052033,6.214105633696493
6.109375,0.038232,6.253432528231372,6.1771936163986165,0.07623891183275511,0.48447127574769705,6.211000547194809
6.1875,0.128864,6.243289062349622,6.177957052220941,0.06533201012868162,0.5031741220405245,6.207414631422059
5.90625,0.06304,6.191436898911219,6.157830603908279,0.0336062950029401,0.4411290016590802,6.193321692059893
5.859375,0.03556,6.140350452924877,6.135722781396554,0.004627671528322885,0.43157728683968183,6.185420255536714
5.6875,0.046272,6.070681152474895,6.102521093885699,-0.03183994141080326,0.39758345269752376,6.16907005266301
5.835938,0.059712,6.034566821324911,6.082774198042314,-0.04820737671740272,0.4387032675993587,6.163644078089991
5.929688,0.055728,6.018431618044156,6.071434479668809,-0.05300286162465273,0.46360611142810915,6.188454527470454
5.984375,0.039736,6.013192138345055,6.064985629322972,-0.05179349097791697,0.4781506218757585,6.1908561572240535
5.835938,0.124856,5.985922270907354,6.048019138262011,-0.062096867354656915,0.44303532123468503,6.1665475587795635
5.65625,0.064552,5.9352034599985295,6.018999202094455,-0.08379574209592544,0.4043252378729356,6.148626135939088
4.625,0.657072,5.7336336969218324,5.9157400019393105,-0.18210630501747804,0.2625442843657902,5.661409273247078
4.21875,0.625712,5.500574666626166,5.790037038832695,-0.28946237220652904,0.22854478966838968,5.278379822346738
4.21875,0.250328,5.3033708717606025,5.673645406326569,-0.3702745345659668,0.22854478966838968,5.147628440829963
4.25,0.126448,5.141313814566664,5.5681901910431195,-0.4268763764764554,0.2373556429641907,5.086629201604302
4.039063,0.178592,4.971736766171793,5.45492151022511,-0.48318474405331724,0.2191604423374642,4.986692653875835
3.804688,0.30056,4.792190802145362,5.332681990949176,-0.5404911888038137,0.20074643420709318,4.8363834486543515
3.6875,0.226784,4.622238371046076,5.210816658286274,-0.5885782872401979,0.19205735709967828,4.699563805797087
3.625,0.149776,4.4688170831928336,5.093348757672476,-0.6245316744796421,0.1873985618560587,4.62451976331226
3.5,0.260872,4.319768301163167,4.975322923770811,-0.6555546226076441,0.1780937818295295,4.4901247004016005
3.375,0.128472,4.174419331753449,4.856780484972973,-0.6823611532195244,0.16905415723287567,4.42219000822876
3.507813,0.126248,4.071864511483687,4.756856967567568,-0.6849924560838812,0.21466537243254194,4.372879607563774
3.382813,0.161568,3.965856586640043,4.655075932932934,-0.6892193462928908,0.20335176809929625,4.265922979903789
3.320313,0.148304,3.866542188695421,4.556204604567531,-0.6896624158721103,0.19774014457628333,4.201247076779487
3.484375,0.163856,3.8077472365884333,4.476809819044011,-0.6690625824555774,0.25579590242755845,4.155956568483009
3.554688,0.125752,3.7688150463440593,4.408504499114825,-0.6396894527707655,0.27984873753643214,4.119106013532823
3.515625,0.098848,3.729862731521896,4.342365276958171,-0.6125025454362749,0.27453996113416546,4.0787059693876335
3.679688,0.112608,3.7221435420569895,4.293278071257566,-0.5711345292005765,0.33186751464735753,4.042330096347187
3.671875,0.069128,3.714409920202068,4.247248214127376,-0.532838293925308,0.33052799213145573,4.017264366077318
3.5625,0.076848,3.691039163247904,4.196526124192015,-0.5054869609441113,0.3115686216460309,3.9526052251486066
3.484375,0.09532,3.6592446765943807,4.143774189066681,-0.48452951247230036,0.298402009024872,3.914740481687425
3.40625,0.1,3.6203224186567837,4.089142767654335,-0.4688203489975509,0.28541292103074634,3.7679630659961476
3.34375,0.140592,3.5777728157865094,4.0339284885688285,-0.45615567278231905,0.27509632614163604,3.655593929244725
3.359375,0.125664,3.544173151819354,3.983961563489656,-0.4397884116703019,0.2820828598845593,3.594488605812965
3.59375,0.209656,3.5518003592317613,3.955057003231163,-0.40325664399940164,0.3787971873174672,3.5668025256033773
3.609375,0.18244,3.560657996273029,3.9294509289177437,-0.3687929326447148,0.3847478191339588,3.5413055314960635
4.125,0.259128,3.647479843000255,3.943936045294207,-0.29645620229395186,0.5410039960539591,3.5656447130050535
4.46875,0.174272,3.7738290979232927,3.9828111530501915,-0.20898205512689882,0.6117895559951204,3.6102426630534907
