XOM Close,XOM Volume,EMA 12,EMA 26,MACD,RSI,VWMA
39.15625,0.134582,40.50916745249593,40.474192205540405,0.03497524695552556,0.4108271832478192,41.252463412273066
38.40625,0.145108,40.185641690573476,40.321011301426296,-0.13536961085281973,0.37240344281449633,41.02171495560322
40.5,0.17485,40.23400450740833,40.33426972354287,-0.1002652161345381,0.5101428386688062,40.90889219294838
42.59375,0.194616,40.597042275499355,40.501638632910065,0.09540364258928946,0.6037888000423077,41.021665695131524
42.46875,0.166038,40.88499731003792,40.64735058602784,0.23764672401007658,0.596457700559256,41.015675086230175
41.875,0.085454,41.03730541618593,40.73828757965541,0.29901783653051695,0.5615780233626745,41.03033088516138
42.0,0.087226,41.18541227523425,40.831747758940196,0.35366451629405304,0.567314643307342,41.052442209887346
41.75,0.103142,41.27227192519821,40.89976644346315,0.37250548173506104,0.5517645765791829,41.07864661719178
42.71875,0.12056,41.494807013629256,41.03450596616959,0.4603010474596658,0.5977728594954451,41.14201862908229
41.875,0.112688,41.55329824230168,41.096764783490364,0.4565334588113146,0.5452760371564646,41.14008277481145
42.375,0.119294,41.679713897332185,41.191448873602184,0.48826502373000125,0.5694085805727608,41.194553631636964
42.78125,0.130888,41.84918099005031,41.30921192000202,0.5399690700482864,0.5885165980510073,41.30156606707876
41.84375,0.096134,41.84834545311949,41.34880733333521,0.4995381197842832,0.5300594739523867,41.357467060040726
42.5,0.143436,41.94859999879342,41.43408086419927,0.5145191345941527,0.5627969109041202,41.46567872766817
42.125,0.124594,41.97573846051751,41.48526005944376,0.4904784010737515,0.5396618764743594,41.48711430874735
42.03125,0.119216,41.98427869736097,41.52570375874422,0.45857493861674925,0.533754634026183,41.53073362431575
41.75,0.09298,41.94823582084389,41.54231829513354,0.40591752571035045,0.5155233468125444,41.585470348458806
40.5,0.105484,41.725430309944834,41.46510953253106,0.26032077741377435,0.4430855222212892,41.55507975284497
39.4375,0.10361,41.37344103149178,41.31491623382506,0.058524797666720474,0.3925892752160938,41.493865775548
41.4375,0.146122,41.38329625741612,41.32399651280098,0.05929974461513865,0.506580962902546,41.50392751440331
41.59375,0.106654,41.415673756275176,41.3439782525935,0.07169550368167421,0.514250650406341,41.63529261299208
41.90625,0.115628,41.49114702454054,41.38562801166065,0.10551901287988841,0.5299863802094205,41.83944491148871
41.1875,0.116108,41.44443209768814,41.370951862648745,0.07348023503939771,0.49061941707706297,41.905768933440775
40.4375,0.114362,41.28951946727458,41.30180728023032,-0.012287812955740662,0.4528219446454853,41.77509524843503
40.375,0.071012,41.14882416461695,41.233154889102146,-0.08433072448519852,0.44971268776078877,41.678194053351596
39.46875,0.09372,40.89035121621434,41.102458230650136,-0.21210701443579438,0.4061632592541042,41.577473741012696
38.125,0.124082,40.46491256756598,40.8819057691205,-0.4169932015545186,0.351768245229845,41.37158701278126
37.9375,0.134756,40.07607986486352,40.66380163807454,-0.5877217732110154,0.3448287261583417,41.15258995002025
36.9375,0.124658,39.593221424115285,40.387779294513464,-0.7945578703981795,0.30973376948462583,40.841422899278825
38.21875,0.097536,39.3817642819437,40.22711045788284,-0.8453461759391345,0.3947315990351516,40.678163238277506
39.65625,0.107836,39.42399285395236,40.18482449803967,-0.760831644087304,0.4731215358753869,40.54037265472388
40.0,0.102642,39.51260933795969,40.17113379448117,-0.6585244565214836,0.4901272036833915,40.38471187019375
38.9375,0.116784,39.42413097827358,40.07975351340849,-0.6556225351349099,0.4425779275437733,40.24793864042419
37.5,0.138006,39.12811082776995,39.88866066056342,-0.7605498327934654,0.3877667351550691,39.93662478001054
37.71875,0.108548,38.91128608503611,39.727926537558716,-0.8166404525226056,0.39994527580887873,39.707400237482496
37.3125,0.088816,38.66531899503055,39.5490060532951,-0.8836870582645489,0.3846426566907109,39.48573012509596
36.40625,0.107864,38.31776991887201,39.316209308606574,-0.998439389734564,0.35226304669383984,39.24173676776841
35.53125,0.118006,37.88907454673785,39.03584195241349,-1.1467674056756394,0.32391099002922796,38.98664060578965
36.75,0.118752,37.71383230877818,38.86652032630879,-1.1526880175306076,0.39674132630953024,38.84794874709799
37.65625,0.104692,37.704973492043074,38.77687067250814,-1.071897180465065,0.44464788177875414,38.62032586400489
38.03125,0.098846,37.7551698778826,38.72163951158161,-0.9664696336990062,0.4636291180669658,38.449915363466076
38.5,0.098022,37.869759127439124,38.70522176998297,-0.8354626425438454,0.48722195580368743,38.26926044645243
37.84375,0.102078,37.86575772321772,38.64140904628053,-0.7756513230628101,0.45692018227486464,38.093183503084724
36.46875,0.104974,37.6508334581073,38.480471339148636,-0.8296378810413358,0.40069019586479226,37.8902699583185
40.0,0.228116,38.012243695321565,38.59302901773022,-0.5807853224086514,0.5528738891661412,38.02172855963642
39.8125,0.199814,38.289206203733634,38.683360201602056,-0.39415399786842187,0.5449609179608756,38.11336654599832
40.21875,0.109062,38.58605909546692,38.79709277926116,-0.21103368379424126,0.5596661657785273,38.208052026344006
38.515625,0.0943,38.5752230807797,38.77624331413071,-0.20102023335100938,0.4884066236330817,38.23568094778656
37.9375,0.094674,38.47711183758282,38.71411417975066,-0.2370023421678411,0.4666847399132725,38.292789815454434
38.625,0.090476,38.49986386257008,38.70751312939876,-0.2076492668286818,0.4954241616623601,38.30877338027396
38.875,0.118798,38.55757711448238,38.71991956425811,-0.16234244977573553,0.505852205917616,38.275469536161005
39.875,0.116008,38.76025755840817,38.80548107801677,-0.04522351960859794,0.5462482982910876,38.27909719617285
38.5625,0.149292,38.729833318653064,38.787482479645156,-0.05764916099209216,0.48966765174172466,38.26462291515288
