BAC Close,BAC Volume,EMA 12,EMA 26,MACD,RSI,VWMA
24.21875,0.137058,25.015861017765886,26.15582182285676,-1.1399608050908725,0.3577387640557138,25.265603655871864
22.78125,0.272934,24.672074707340364,25.905853539682184,-1.2337788323418195,0.2972708305364747,24.911316967847423
23.03125,0.228556,24.419640136980306,25.69291994415017,-1.2732798071698639,0.3188347859194981,24.667895572957672
25.0,0.17307,24.508926269752568,25.641592540879785,-1.132666271127217,0.4594960617192884,24.63907485270268
24.34375,0.116328,24.48351453594448,25.54545605637017,-1.061941520425691,0.42778498035699214,24.56896050913238
23.5,0.111528,24.332204607337637,25.393940792935343,-1.0617361855977059,0.39047291214678814,24.392544958388086
23.0,0.110644,24.127250052362616,25.216611845310503,-1.0893617929478872,0.3698841420303807,24.260019027205434
23.25,0.110676,23.99228850584529,25.07093689380602,-1.0786483879607296,0.38728040446402595,24.161864645401376
23.78125,0.12322,23.959821043407555,24.97540453130187,-1.0155834878943146,0.4236915345207308,24.08175423907208
25.25,0.204386,24.158310113652547,24.99574493639062,-0.8374348227380715,0.5103297887851692,24.108547861614017
24.0,0.17116,24.133954711552157,24.921986052213537,-0.7880313406613801,0.4485292476003167,24.076193877662558
24.0,0.154684,24.113346294390286,24.85369078908661,-0.7403444946963234,0.44852924760031676,24.075324705388304
23.539063,0.12249,24.024995018330245,24.756310952857973,-0.7313159345277285,0.42644390237948615,24.01540981354177
22.84375,0.128394,23.843265015510205,24.61463977116479,-0.771374755654584,0.39485904116806064,23.947915941712825
22.28125,0.126148,23.60295501312402,24.44179608441184,-0.8388410712878205,0.37092427539647665,23.840149746735683
22.5625,0.15631,23.44288501110494,24.302588967048003,-0.8597039559430613,0.3908079217456093,23.740516579906156
23.5625,0.154412,23.461287317088797,24.247767562081485,-0.7864802449926884,0.4565772048309238,23.706978734969972
24.0625,0.127694,23.55378157599821,24.23404403896434,-0.6802624629661267,0.4864324812639486,23.687869027263826
22.875,0.13517,23.449353641229255,24.133374110152165,-0.6840204689229097,0.42650141331781427,23.611981829543986
24.21875,0.1691,23.56772231180937,24.139698250140892,-0.5719759383315228,0.5013666667994505,23.619976169566392
24.5,0.089652,23.711149648454082,24.166387268648972,-0.45523762019488956,0.5156192492042315,23.618914462635217
23.875,0.117174,23.73635739484576,24.144803026526827,-0.4084456316810652,0.4826067919012262,23.710278757059857
23.21875,0.22798,23.65672548794641,24.07620650604336,-0.41948101809694904,0.450026092168945,23.725520459317654
22.9375,0.134,23.54607541287773,23.991857875966073,-0.44578246308834224,0.4364277114948398,23.608662205316808
22.65625,0.103644,23.409179195511925,23.892923959227844,-0.4837447637159187,0.422673392478741,23.542358315476953
23.5625,0.108218,23.432767011587014,23.86844811039615,-0.4356810988091375,0.4795868781177636,23.54484604266211
23.03125,0.092942,23.370995163650548,23.806433435551995,-0.4354382719014467,0.4514888253575728,23.549397089441925
22.4375,0.115794,23.227380523088925,23.70503095884444,-0.477650435755514,0.4217481081298714,23.514786248781935
22.59375,0.135104,23.129898904152167,23.62271385078189,-0.49281494662972136,0.43234527506894704,23.458101498769487
22.125,0.134268,22.97529907274414,23.511772084057306,-0.5364730113131664,0.40817797058678235,23.256487706740064
22.8125,0.13834,22.950253061552736,23.459974151904913,-0.5097210903521763,0.4561910897728945,23.18586088578478
22.59375,0.119396,22.89540643669847,23.395809399911954,-0.5004029632134852,0.44385244521991335,23.11127332473646
22.3125,0.122568,22.80572852336024,23.315564259177737,-0.5098357358174965,0.4278302757071529,23.054260257147494
21.875,0.14998,22.66253951976636,23.20885579553494,-0.5463162757685822,0.40343390049302835,22.99788584966143
22.375,0.131628,22.618302670571534,23.14708869956939,-0.5287860289978568,0.44255680067392517,23.001044610144884
22.875,0.13732,22.657794567406683,23.126933981082768,-0.4691394136760856,0.479329074195599,23.020421698399325
22.40625,0.114678,22.619095403190272,23.073549982484042,-0.4544545792937704,0.4493989917077998,22.96124469698424
22.0625,0.106038,22.533465341161,22.998657391188928,-0.46519205002792674,0.42827931109032585,22.869906976167968
22.96875,0.1376,22.600432211751617,22.996442028878636,-0.39600981712701966,0.49558246608348633,22.874901273446834
23.0,0.117928,22.661904179174446,22.996705582295032,-0.33480140312058637,0.4977779687083009,22.791053188475335
22.78125,0.097966,22.68026507468607,22.980745909532438,-0.30048083484636834,0.4819639917331565,22.730417248755785
22.53125,0.10613,22.65733967858052,22.947449916233737,-0.29011023765321653,0.46382809185295865,22.66908933637551
22.5,0.128258,22.633133574183518,22.9143054779942,-0.2811719038106837,0.46149042880645164,22.608640821613623
22.25,0.098278,22.574189947386053,22.865097664809447,-0.2909077174233943,0.44228594356150575,22.575539381439167
22.0,0.089112,22.485853032403583,22.801016356305045,-0.3151633239014622,0.42331502584893876,22.550491518954498
21.8125,0.081264,22.382260258187646,22.727792922504673,-0.34553266431702667,0.40914065516321196,22.478508909399167
21.53125,0.130936,22.251335603081856,22.639160113430254,-0.3878245103483984,0.38814588931488586,22.405197791218367
21.4375,0.121344,22.126130125684647,22.55014825317616,-0.42401812749151446,0.3811253628852859,22.354673249348657
21.59375,0.106508,22.04422549096393,22.479303938126076,-0.4350784471621445,0.40058504296427644,22.306839223013753
21.3125,0.082332,21.93165233850794,22.392874016783402,-0.4612216782754608,0.37757120425772445,22.282050368613444
22.9375,0.204218,22.086398132583643,22.43321668220685,-0.3468185496232081,0.5414788537624144,22.30742174159486
24.625,0.272072,22.476952266032313,22.59557100204338,-0.1186187360110651,0.6457927360155001,22.542565491779296
