BMY Close,BMY Volume,EMA 12,EMA 26,MACD,RSI,VWMA
61.330132,0.035685,62.240202377292164,64.01658390670768,-1.7763815294155165,0.41736139664812644,62.28148907655208
56.690216,0.10592,61.386358319247215,63.473889987692296,-2.087531668445081,0.3277589817911647,61.395770892232335
56.095356,0.072227,60.57235796243995,62.9273319145299,-2.3549739520899493,0.3183234706769215,60.84352936499733
56.868675,0.073219,60.002560583603035,62.47854251345361,-2.475981929850576,0.34473282824959,60.36731719037193
65.196724,0.109135,60.80166264766411,62.679889290234826,-1.8782266425707164,0.5478773240139316,60.77334032801269
64.482895,0.071134,61.36800608648502,62.81344526873595,-1.4454391822509294,0.5326349740840374,60.888686783664944
63.590599,0.056875,61.70994345779502,62.87101221179254,-1.1610687539975189,0.5134071578378462,60.933178388808784
63.412144,0.037279,61.97182046428809,62.91109604795606,-0.939275583667964,0.5094461742194647,60.93611024327153
62.22242,0.04402,62.010374239013,62.86008300736672,-0.8497087683537217,0.4827082298327292,60.81705512777779
63.947517,0.045359,62.30839620224177,62.9406336734877,-0.6322374712459364,0.5218921235328446,60.91520377354881
62.162937,0.037823,62.28601786343534,62.88302651248861,-0.5970086490532722,0.48127816128074763,61.103959975999366
60.973213,0.041884,62.08404788444529,62.74155884489686,-0.6575109604515674,0.45581134622306113,61.23052290402958
58.891201,0.046105,61.5928406714537,62.45634715268228,-0.8635064812285762,0.4144779060189158,61.33827378167061
58.236855,0.058637,61.07653518353774,62.14379217840951,-1.0672569948717694,0.4021355575308451,61.20358367470175
55.857414,0.051132,60.273593462993475,61.67813453556437,-1.4045410725708933,0.36013856238154496,60.818256339281035
56.987648,0.063377,59.76806339176371,61.33069108848552,-1.5626276967218118,0.3925880032497683,60.45037925181417
58.534286,0.068587,59.57825148533853,61.12354997081993,-1.5452984854814034,0.4348264646512903,60.23297787509587
59.248119,0.076693,59.52746187220953,60.984629158166605,-1.4571672859570768,0.45370820540097534,60.12959551810567
61.151672,0.075926,59.77734035340806,60.997002702006114,-1.2196623485980567,0.5015326530243572,60.158445099882734
63.055225,0.054927,60.28163029903759,61.149463612968624,-0.8678333139310368,0.5444782900051252,60.279236873033355
61.508587,0.044241,60.47039286841642,61.17606534534132,-0.705672476924903,0.5063096303895717,60.29291567932037
61.687046,0.034557,60.65757027327543,61.21391576420493,-0.5563454909294947,0.5105729585636641,60.662412059820134
62.22242,0.030943,60.89831638507921,61.28861978167123,-0.3903033965920173,0.5238571427025339,60.99947590305593
61.568073,0.031089,61.0013558642978,61.309320020065954,-0.30796415576815406,0.5057874608085338,61.29596882435865
61.151672,0.033785,61.0244814236366,61.29764238894995,-0.27316096531335177,0.49410734158873726,60.86725958555537
60.675785,0.04707,60.970835820000204,61.25157887865737,-0.28074305865716553,0.48045189558725115,60.59570508762339
59.486061,0.035491,60.74240892461556,61.120799776534604,-0.3783908519190433,0.44717882526105385,60.37700501245562
58.415314,0.040344,60.384394320828555,60.920393422717225,-0.5359991018886703,0.41905105949469346,60.177117894582054
57.106621,0.035903,59.88012150223955,60.63789176177521,-0.7577702595356612,0.38700966468458053,59.967158865773534
58.177368,0.033205,59.61815942497192,60.45563074238445,-0.837471317412529,0.42570121552863915,59.71233224519097
59.06966,0.049361,59.53377489805317,60.35296624294857,-0.8191913448954011,0.45648881396397584,59.581819520567905
60.497326,0.045266,59.68201352912191,60.363659558285704,-0.6816460291637938,0.5024488103902648,59.56422060583146
60.43784,0.044796,59.79829452464162,60.3691544058201,-0.5708598811784782,0.5005495199515163,59.637665617825256
56.868675,0.061214,59.34758382854291,60.10985963501861,-0.7622758064756994,0.40228987255200144,59.54646505296652
57.047134,0.058174,58.993668470305536,59.882991069461674,-0.889322599156138,0.40854172582367715,59.5912679117342
57.047134,0.041564,58.694201628720066,59.67292758283489,-0.9787259541148217,0.40854172582367715,59.65410639657484
55.084095,0.060512,58.13880060891698,59.33301405818045,-1.1942134492634722,0.3604448539777782,59.44049957510578
53.894371,0.053001,57.48581143831437,58.930151609426346,-1.4443401711119748,0.33472488770176917,59.13415152380869
53.596943,0.056034,56.88752398626601,58.53509911983921,-1.6475751335731985,0.3284156666572517,58.614279219645596
54.489235,0.050509,56.51855644991739,58.2354054813326,-1.716849031415208,0.36696570458433037,58.10441495202911
48.778572,0.155803,55.32778961146856,57.53489929753018,-2.207109686061621,0.2629392341784829,56.498602251285526
50.161621,0.110462,54.532994440473395,56.98873053475017,-2.455736094276773,0.3136825827968038,55.68029476165398
49.016514,0.094445,53.68430514193902,56.39819597662053,-2.713890834681507,0.29554054430131455,54.949386774078484
44.198143,0.1831,52.22489558164071,55.49448834872271,-3.2695927670820026,0.23416934947416482,53.263917519961794
41.402298,0.180393,50.5598805690806,54.45062239696547,-3.8907418278848738,0.20727330469106808,51.58901692491476
45.447353,0.172373,49.77333786614512,53.78371355274581,-4.010375686600689,0.32760472582978906,50.63740438352508
51.158012,0.155702,49.98636465596895,53.589217141431305,-3.602852485462357,0.4536845337051461,50.498899195927144
49.849319,0.129276,49.9652807088968,53.31218764947343,-3.3469069405766305,0.4336183504653842,50.27115566791129
48.48114,0.059421,49.736951369066524,52.95433226803095,-3.2173808989644286,0.41304982917402533,50.07513645660535
45.625809,0.102504,49.10446792767167,52.41147869262126,-3.307010764949588,0.37325726621310895,49.68611098863196
48.064739,0.10702,48.944509631106804,52.08949797464931,-3.144988343542508,0.42427726066403376,49.35476686673287
53.002083,0.159035,49.5687516878596,52.15709686541602,-2.5883451775564197,0.5110518625858352,49.391945870676025
