CMCSA Close,CMCSA Volume,EMA 12,EMA 26,MACD,RSI,VWMA
15.583333,0.023336,16.083891701946893,15.484200230732924,0.5996914712139692,0.5119945977368862,15.77999149682262
14.416667,0.010634,15.827395593955064,15.405123695123077,0.4222718988319869,0.42879385851262136,15.802571016359025
14.041667,0.008288,15.552668117961977,15.304126902891738,0.2485412150702384,0.4059582500642808,15.801913746761752
14.583333,0.01103,15.403539638275518,15.250734761936794,0.15280487633872397,0.4514048103349144,15.794676147929252
14.125,0.007386,15.206841232386976,15.167347001793328,0.03949423059364854,0.4219865559326862,15.67655249566618
15.9375,0.023402,15.319250273558211,15.224395372030859,0.0948549015273521,0.5475589760091059,15.712678714964873
14.479167,0.02114,15.190006693010794,15.169193270398942,0.020813422611851706,0.46081382693664225,15.584270451385478
15.0625,0.0153,15.17039027870144,15.161290065184206,0.009100213517234224,0.4952589282439748,15.571632097232223
15.916667,0.007236,15.285202081978142,15.217243912207598,0.06795816977054336,0.5414527350428344,15.603256973014702
16.270834,0.009858,15.436837761673813,15.295287622414444,0.141550139259369,0.5594561239795184,15.629953125310704
16.166666,0.017126,15.54911902910861,15.359834168902262,0.18928486020634772,0.5525841814091785,15.64944368995155
17.145834,0.01823,15.794767486168825,15.492130452687281,0.3026370334815436,0.6020646272610096,15.768351839628018
16.625,0.008412,15.922495565219775,15.576046715451186,0.3464488497685885,0.5661959138579221,15.793558028169013
16.541666,0.008154,16.01775255518596,15.647574069862209,0.37017848532375197,0.5604426872790227,15.80747642953373
16.166666,0.006074,16.040662315926582,15.68602532394649,0.354636991980092,0.5341403780345038,15.724690098080876
15.229167,0.007488,15.915816882707109,15.65218396661712,0.26363291608998907,0.47422095261328884,15.65137733408619
15.520833,0.00525,15.8550501315214,15.642454265386222,0.2125958661351781,0.49326641816116307,15.63045061828217
15.520833,0.00489,15.803632111287339,15.63344528276502,0.17018682852231848,0.49326641816116307,15.582609722271899
14.333333,0.005384,15.577432248012363,15.537140669226872,0.0402915787854905,0.42121970440712075,15.542297887775197
14.375,0.009018,15.392442671395075,15.451056175210066,-0.058613503814990864,0.4243965733221336,15.481696470628547
14.75,0.004704,15.293605337334295,15.39912608815747,-0.10552075082317458,0.45347172009029857,15.453880303247786
15.625,0.005922,15.344589131590556,15.415857489034693,-0.0712683574441364,0.5150285424701714,15.512830713008828
16.104166,0.005376,15.461447111345855,15.466843304661753,-0.0053961933158976905,0.5452358749519293,15.589164129218394
16.166666,0.005616,15.569942324984954,15.518682022834957,0.05126030214999666,0.5491802467015078,15.66232767729096
15.875,0.005708,15.616874274987268,15.545075947069405,0.07179832791786289,0.5262416253984105,15.727018424236187
15.9375,0.003242,15.666201309604611,15.574144395434635,0.09205691416997652,0.5307645785295796,15.702649519939355
15.125,0.003006,15.58293956966544,15.540874440217255,0.042065129448184635,0.468187785514598,15.85732217410926
15.541667,0.003164,15.576589943563064,15.54093314834931,0.03565679521375387,0.5006983697444313,15.934912897551753
15.5,0.004278,15.564806875322594,15.5379010632864,0.02690581203619402,0.49742360079800907,15.922645118552165
14.8125,0.003602,15.449067356042196,15.484167651191111,-0.035100295148914995,0.4456334237122972,15.867453734529574
15.25,0.002604,15.418441608958782,15.466821899251029,-0.048380290292247,0.48255460387098675,15.811409389753749
14.416667,0.003948,15.264322438349739,15.389032647454655,-0.12471020910491681,0.4245535106755612,15.529540497089945
14.354167,0.00504,15.12429852475747,15.312375932828385,-0.18807740807091378,0.42047151615787504,15.381797906585469
13.166667,0.003908,14.823124444025552,15.153434530396652,-0.3303100863710995,0.35134933939451335,15.197375923560914
13.333333,0.01121,14.593925760329315,15.018612194811714,-0.42468643448239973,0.36707578632135973,14.938243692892662
14.104167,0.00564,14.51857825874019,14.95087551371455,-0.43229725497436,0.43527162737988934,14.870441247108657
13.208333,0.003666,14.317002065087852,14.821798290476435,-0.5047962253885832,0.38354922892541593,14.775292381582368
13.916667,0.006026,14.255412055074336,14.754751528218922,-0.4993394731445857,0.44019296359906995,14.688021496645625
13.791667,0.01067,14.184066661985977,14.68341193353604,-0.49934527155006236,0.43263795941524497,14.61604591070824
13.333333,0.00819,14.05318456014198,14.583406086607445,-0.5302215264654642,0.4051783361129563,14.53708773485595
13.541667,0.016686,13.974489550889368,14.506240228340229,-0.5317506774508605,0.4231021983900389,14.38720833129649
12.791667,0.00827,13.792516850752543,14.37923480401873,-0.5867179532661861,0.3788442466104081,14.215949849261579
13.104167,0.010032,13.68661687371369,14.284785337054378,-0.5981684633406879,0.40669258252775503,14.044837970555635
13.041667,0.00695,13.587393816219278,14.192702497272572,-0.6053086810532946,0.4028029723099649,13.894740827685949
12.8125,0.004724,13.468179382954773,14.090465275252383,-0.6222858922976098,0.3881444576559912,13.763262764752996
13.083333,0.003878,13.408972247115578,14.015862884492947,-0.6068906373773686,0.4152287501766183,13.686081392678418
13.270833,0.010184,13.387720055251643,13.960675485641618,-0.5729554303899747,0.43391135451336493,13.621603523042134
12.708333,0.01361,13.283198969828312,13.86790937559409,-0.5847104057657777,0.39331408361214487,13.492304963414293
12.083333,0.023022,13.09860420523934,13.73571853295749,-0.6371143277181499,0.35371448008477707,13.238837325281107
12.166667,0.012996,12.955229250587134,13.619492493479157,-0.664263242892023,0.3629246791303896,13.124374255795484
12.6875,0.010452,12.91404013511219,13.550456012480701,-0.6364158773685116,0.4186840398092652,13.06797433195609
13.5625,0.008796,13.013803191248776,13.551348159704354,-0.5375449684555775,0.4981522178674104,13.062675115444412
