T Close,T Volume,EMA 12,EMA 26,MACD,RSI,VWMA
47.0,0.057919,49.328015759659834,50.39127342608042,-1.0632576664205828,0.33058142012918756,51.388476409882635
44.25,0.071736,48.54678256586601,49.9363642834078,-1.3895817175417875,0.25988374218362775,50.8099815559484
44.9375,0.0909,47.99150832496355,49.5660780401924,-1.5745697152288542,0.30017763425248417,49.9326665482698
43.75,0.071536,47.338968582661465,49.135257444622596,-1.7962888619611306,0.27257382473294955,49.31464346362201
44.125,0.058856,46.84451187763663,48.76412726353944,-1.9196153859028158,0.29463294535650253,48.80585611265197
44.75,0.071187,46.52227928107715,48.46678450327727,-1.944505222200121,0.33104376138926367,48.39822283733092
44.125,0.064728,46.15346708398835,48.14517083636784,-1.991703752379486,0.3136100483255266,47.94788026452628
41.8125,0.0892,45.48562599414399,47.676084107748,-2.1904581136040093,0.25921586384275597,47.205747140057454
40.8125,0.0825,44.76668353350645,47.16767047013703,-2.4009869366305807,0.23984305513867665,46.53558865208784
42.0,0.098883,44.341039912967,46.7848800649417,-2.4438401519747046,0.30615778920419656,45.83248502075513
41.125,0.098245,43.846264541741306,46.36562968976084,-2.5193651480195314,0.28633604339942165,45.04314376986498
40.5625,0.102123,43.341069996858025,45.935768231260035,-2.59469823440201,0.27405234163569175,44.4268926337471
41.0,0.100804,42.98090538195679,45.57015576968522,-2.589250387728434,0.2992330010842752,43.94782177503209
43.0,0.159504,42.9838430155019,45.37977386081965,-2.39593084531775,0.4014451193727072,43.64639793387287
42.0,0.099804,42.83248255157853,45.12942024149967,-2.296937689921144,0.3722120845259744,43.39440961754378
40.0,0.159431,42.39671600518183,44.74946318657377,-2.3527471813919405,0.3217484160446347,42.88926959780157
40.0,0.076621,42.02799046592308,44.39765109867942,-2.369660632756336,0.3217484160446348,42.640363242746204
39.0,0.069201,41.56214577885799,43.997825091369826,-2.4356793125118372,0.29829662278694563,42.386608844689036
39.25,0.086506,41.20643104364907,43.64613434386095,-2.4397033002118818,0.3118017260873095,42.133938837286735
42.875,0.112553,41.46313396001075,43.58901328135273,-2.1258793213419764,0.47083503973742047,42.10630529261562
42.375,0.089496,41.603421043086016,43.499086371622894,-1.8956653285368787,0.45520958712997267,41.966382515991356
42.5,0.066751,41.74135626722663,43.4250799737249,-1.6837237064982702,0.46003411527233057,41.897042364383076
42.0,0.077038,41.78114761073022,43.31951849418972,-1.5383708834594998,0.4431296711951204,41.750747663309475
42.0,0.06773,41.814817209079415,43.221776383508995,-1.4069591744295806,0.4431296711951205,41.68186423121724
41.875,0.058045,41.82407609999027,43.12201516991574,-1.2979390699254694,0.4384582558708979,41.6094285587456
42.0625,0.056698,41.86075669999177,43.0435325647368,-1.1827758647450324,0.44786073175572216,41.50045567226787
42.625,0.068095,41.978332592300724,43.01253015253407,-1.0341975602333449,0.4761964705345648,41.44916707114227
42.125,0.051512,42.00089680886985,42.94678717827229,-0.9458903694024414,0.45389793836730397,41.4505165825634
40.4375,0.055757,41.76037422288987,42.760914053955815,-1.000539831065943,0.3878820792759565,41.44832464951786
40.875,0.084591,41.62416280398374,42.62121671662575,-0.9970539126420164,0.4117688291943688,41.38911802896286
40.6875,0.081919,41.48006083414008,42.47797844132014,-0.9979176071800566,0.40448380490533853,41.370832473020485
39.0625,0.084751,41.10812839811853,42.22498003825939,-1.1168516401408581,0.3471589822680607,41.304577677792516
40.0,0.092736,40.93764710610029,42.060166702092026,-1.122519595991733,0.39999153040202234,41.25143315865475
38.25,0.139224,40.52416293593102,41.77793213156669,-1.2537691956356767,0.3440242020385127,40.836305392327134
36.5,0.14056,39.90506094578778,41.386974195895085,-1.4819132501073042,0.29897353637579,40.41422178872334
35.75,0.128763,39.265820800281965,40.96942055175471,-1.7035997514727441,0.28193363765260787,40.097654114750725
35.5,0.12888,38.686463754084734,40.56427828866176,-1.877814534577027,0.27628103110109825,39.761566517176526
35.4375,0.113574,38.18662317653324,40.18451693394608,-1.9978937574128395,0.27479769474982757,39.51598869777205
37.0,0.112649,38.00406576475889,39.94862679069081,-1.9445610259319182,0.36638563249647677,39.3722185715737
37.75,0.08579,37.96497872402675,39.785765546935934,-1.8207868229091844,0.4052153958248838,39.07331072410607
42.0,0.152736,38.58575122802263,39.949782913829566,-1.3640316858069355,0.5671092555764878,39.155312516404656
45.25,0.149772,39.6110202698653,40.34239158687923,-0.7313713170139309,0.6463760721567834,39.512441766969474
45.5625,0.088907,40.52663253603987,40.729066284147436,-0.2024337481075662,0.6529564144088967,39.690677200519474
43.375,0.064342,40.964842915110665,40.925061374210586,0.039781540900079904,0.5726291439562344,39.73226242341957
41.875,0.068489,41.10486708201672,40.99542719834314,0.1094398836735806,0.5249403182864125,39.74374020705272
41.625,0.068016,41.184887530937225,41.042062220688095,0.1428253102491297,0.5172091905845195,39.7419486905826
41.5625,0.059707,41.24298175694688,41.08061316730379,0.1623685896430942,0.5151664876512835,39.69707603031738
42.0,0.074099,41.359446102031974,41.14871589565166,0.2107302063803118,0.5291840616944494,39.72015000415135
43.6875,0.064778,41.7176082401809,41.33677397745524,0.38083426272566356,0.5796648723876149,39.82950926102779
42.125,0.066353,41.780283895537686,41.39516109023633,0.3851228053013571,0.5236763444972007,39.861997627216056
42.5,0.070356,41.89100945007035,41.47700100947808,0.41400844059226927,0.5352777721547854,39.9223588718136
45.125,0.095111,42.388546457751836,41.74722315692415,0.6413233008276862,0.6073681828077248,40.21128912655573
45.75,0.090682,42.905693156559245,42.04372514530014,0.8619680112591084,0.6223880195321799,40.47716373342409
