BA Close,BA Volume,EMA 12,EMA 26,MACD,RSI,VWMA
40.1875,0.026382,40.399838955758405,40.34614165879758,0.053697296960827146,0.4894931127665607,39.022683168665964
40.125,0.035921,40.357556039487875,40.32976079518294,0.027795244304932964,0.48592427443042996,39.10198681696586
42.625,0.076317,40.70639357187435,40.49977851405828,0.20661505781607303,0.6087908961379591,39.498145121570055
43.0625,0.049222,41.06887148389368,40.689609735239145,0.3792617486545353,0.6256527083224057,39.88423818740635
44.3125,0.060083,41.56789125560235,40.95797197707328,0.6099192785290697,0.669485795815534,40.39269247911169
43.6875,0.024035,41.8939849085866,41.160159238030815,0.7338256705557882,0.6297785366854388,40.5582980648889
42.875,0.0245,42.04491030726559,41.28718447965816,0.7577258276074303,0.5814946417970366,40.75539659508188
43.0625,0.023278,42.201462567686264,41.418689333016815,0.7827732346694489,0.5893195818954878,40.97929574103888
42.375,0.030351,42.228160634196065,41.48952716020075,0.7386334739953142,0.5488012806637005,41.24117211109486
44.0,0.038349,42.500751305858216,41.67548811129699,0.8252631945612237,0.6160047317444513,41.49390448813327
45.0,0.058598,42.88525110495695,41.921748251200924,0.963502853756026,0.6505030862460953,42.07099092487467
47.625,0.114636,43.61444324265588,42.34421134370456,1.270231898951323,0.7212881896911969,43.05294086215592
46.5,0.089411,44.05837505147805,42.65204754046718,1.406327511010872,0.659627915600619,43.61011366966575
45.6875,0.043925,44.30900965894297,42.87689587080295,1.4321137881400219,0.6185039810155304,43.91014841483786
44.3125,0.033062,44.309546634490204,42.98323691741013,1.326309717080072,0.5553988567613606,44.05975986457877
45.6875,0.050572,44.521539459953246,43.18355270130568,1.3379867586475669,0.5994140418116175,44.24160199992665
46.1875,0.030901,44.777841081498906,43.40606731602378,1.371773765475126,0.6143647137603065,44.367129538632234
45.0625,0.033391,44.82163476126831,43.52876603335535,1.2928687279129534,0.5634129721009417,44.47009439919302
44.625,0.022881,44.79138325953472,43.609968549403106,1.1814147101316124,0.5445007958277136,44.545175154260285
44.5,0.024118,44.74655506576015,43.67589680500288,1.0706582607572699,0.5389344872340315,44.58275433375321
43.75,0.026758,44.59323890179705,43.68138593055822,0.9118529712388295,0.5055410502241382,44.68796809590827
44.625,0.032955,44.5981252245975,43.75128326903539,0.8468419555621125,0.5412542430550442,44.87034544420815
43.4375,0.028891,44.419567497736345,43.72804006392166,0.6915274338146844,0.48957373270930066,45.02507703142097
44.0,0.029272,44.35501865193075,43.74818524437191,0.6068334075588382,0.5132807853065018,45.10629482649911
41.8125,0.030294,43.963861936249096,43.60480115219621,0.3590607840528861,0.42969779721023604,45.040374684564746
41.0,0.051027,43.507883176826155,43.4118529187002,0.09603025812595689,0.40342049160088517,44.82787073069251
39.0,0.05525,42.81436268808367,43.08504899879647,-0.27068631071280436,0.3471449296475197,44.504556591423714
39.75,0.040606,42.342922274532334,42.838008332218955,-0.4950860576866205,0.3819620600085589,44.32022177456637
39.875,0.031328,41.96324192460428,42.618526233536066,-0.6552843089317832,0.38782192214498423,44.2276124852088
38.25,0.026063,41.39197393620363,42.29493169771858,-0.9029577615149549,0.3423751970586263,44.05539198350234
38.5,0.039613,40.94705486909538,42.01382564603573,-1.066770776940345,0.3548999350938736,43.725532035297746
37.25,0.03423,40.37827719692687,41.660949672255306,-1.2826724753284395,0.3218894506560638,42.839336761875984
37.5,0.034005,39.935465320476574,41.352731178014174,-1.4172658575376005,0.3352076848464447,42.11149076296375
36.0,0.055595,39.330009117326334,40.95623257223534,-1.6262234549090095,0.29745843166034974,41.41250912688587
38.875,0.047714,39.260007714660745,40.8020671965142,-1.5420594818534568,0.4299624714961325,41.11345333813946
37.125,0.038808,38.93154498932832,40.52969184862426,-1.5981468592959374,0.382653096693881,40.57246610970996
36.5625,0.042108,38.56707652943166,40.235825785763204,-1.6687492563315445,0.3686134245112957,40.10018233373384
37.8125,0.031706,38.45098783259602,40.05632017200296,-1.6053323394069423,0.4195779308465381,39.770781395615735
37.0,0.035733,38.227758935273556,39.82992608518793,-1.6021671499143721,0.39713846713746154,39.485378423229186
36.9375,0.035131,38.02925756061608,39.615672301099934,-1.5864147404838533,0.3953867528108203,39.20368143201528
36.3125,0.02838,37.76514101282899,39.37099287138883,-1.6058518585598378,0.37745703185516616,38.93161027849271
35.9375,0.040582,37.48396547239376,39.11666006610077,-1.6326945937070079,0.36671188548103284,38.522886323009885
35.9375,0.038841,37.246047707410106,38.88116672787108,-1.6351190204609765,0.3667118854810329,38.20654608723113
35.125,0.02882,36.91973267550086,38.60293215543619,-1.6831994799353325,0.3422310784820737,37.869141191171984
34.75,0.03565,36.58592764850073,38.31752977355203,-1.7316021250513032,0.3312401030651841,37.57004823714
33.375,0.041346,36.091938779500616,37.95141645699262,-1.859477677492002,0.2939612158997118,37.11244548652741
33.75,0.032368,35.73164050573129,37.640200423141316,-1.9085599174100238,0.31655237529422137,36.823906044593556
32.375,0.051143,35.21523427408032,37.250185576982695,-2.034951302902371,0.28104330372270314,36.361594223694674
32.625,0.034227,34.81673669345258,36.90757923794694,-2.0908425444943575,0.2964952353452213,36.04518404708116
33.0625,0.037279,34.54685412522911,36.62275855365458,-2.075904428425467,0.3238810633606419,35.82422212257903
34.875,0.048593,34.59733810596309,36.49329495708758,-1.8959568511244882,0.42393122803773187,35.62724010014776
35.625,0.047252,34.75543993581492,36.42897681211812,-1.6735368763032028,0.4595684109264582,35.55637002869037
38.0,0.153049,35.25460302261263,36.545348900109374,-1.2907458774967466,0.5537192546520275,35.896847165012574
